post,background
"8 years ago, studying at Zewail City was just a ""dream"" for me. Two weeks ago, I graduated from Zewail City of Science and Technology!     In school, I have always been a top achiever. I got the First Place award in my senior year (Thanaweya Amma) for the highest grade in my school. However, I still doubted whether I could pass the university's admission tests! I decided to give it a try and studied for them, but I wasn't satisfied at all with my performance. I was quite sure that I won't get accepted. But then, I got accepted! (The impostor phenomenon had another opinion though😂)     During my college days, I always believed that my work in the courses, especially projects, isn't good enough. Throughout these 5 years, I tried to make use of every single opportunity to learn and grow. I was NEVER satisfied and that had always pushed me to work even harder!      In my journey, I KNEW that if I can't understand any concept, there was always someone (a student/ Dr/ TA) here to help, without anything in return!     In my journey, I met the best and smartest people ever. Being surrounded by them has developed my way of thinking. Also, being part of a community from diverse backgrounds with different points of view has made me more flexible and open-minded.     In my journey, I always felt blessed for studying a field that I'm really PASSIONATE about by the most wonderful professors.     In my journey, I unlocked capabilities in myself that I didn’t know existed, either through student activities/ competitions/ group projects.     In my journey, I discovered that I was a perfectionist! I wanted everything to be 100% perfect, and that was the reason why I always doubted myself and was never satisfied with my performance!   “Until you realize perfection is an ideal and not a reality, you will never have self-confidence.” ― J.S. Felts     But then,  I learned that perfectionism is an “illusion”. There is nothing perfect. I was trying to reach something that didn’t exist and doubted myself for not succeeding! Now, I seek “balance”. Balance is the key. I try to produce the best possible outcome within the given time. Efficiency!  “Be prolific, not perfect.” ―Richie Norton  “Imperfection facilitates improvement, perfection facilitates stagnation.” ―Abhijit Naskar    Finally, I graduated with an Excellent degree and a recognition medal for serving the ZC community through winning first place in Dell's hackathon and participating in a student activity (IEEE) as a head of a team in a major event. Also, I got straight A's in all of the courses in my senior year in both semesters (GPA 4.00/4.00), which was one of the hardest years. On top of that, I and my team won first place in CIE Projects Exhibition 2022 for the best graduation project.     Do not seek perfectionism, just focus on “improvement”.    That was just a glimpse of my journey in Zewail City.  I believe I'm ready for the next steps!",Data Engineer @adam.ai
"Stamattina lieta di partecipare al 1° Hackathon dell' Università degli Studi di Napoli Federico II con una lezione su ""La valorizzazione della conoscenza scientifica"". Ringrazio il Coordinatore Ing. Pierluigi Rippa per l'invito.",Professor of Energy Law | Law Department | Federico II | Coordinator IFEC Italian Forum of Energy communities | Lawyer
"Nell'ambito dell Hackathon #sbhack21, dopo la cerimonia di apertura di questa importante manifestazione a livello svizzero, segnaliamo questa interessante conferenza organizzata da Città di Lugano Scuola universitaria professionale della Svizzera italiana (SUPSI) e Venerdì 29 ottobre, Padiglione Conza, Lugano",610 followers
"In collaborazione con Fondazione Mondo Digitale (https://lnkd.in/dx_s22kx) abbiamo avviato un progetto di formazione presso SAP aperto a tutti gli studenti iscritti al Corso di Laurea in Informatica.    Il progetto prevede le seguenti attività:  • Formazione presso SAP - Sei incontri da 1 ora  • Divulgazione delle conoscenze acquisite agli studenti delle scuole superiori – 10 ore (online)  • Supporto durante un hackathon, per tutti i team che si candideranno, che si terrà all’interno di RomeCup 2022  • Manifestazione dedicata alla robotica e alle scienze della vita che dal 2007 diffonde l’innovazione collegando scuole, centri di ricerca, aziende, università e istituzioni.    Gli studenti che aderiranno al progetto parteciperanno pertanto ad una serie di webinar di SAP per poi diventare ""accompagnatori"" degli studenti delle scuole superiori interessate e quindi, infine, ""mentor"" per la preparazione di prototipi e soluzioni robotiche in vista dell’ hackathon che si terrà al RomeCup ad aprile.    Maggiori informazioni a    Per poter partecipare ai seminari di SAP è necessario compilare il seguente form entro il 1 dicembre 2021    .  .","1,556 followers"
"Interessante opportunità quella dell' Hackathon ""Europeans For Future"" 🇪🇺!  Un’iniziativa pensata all'interno dell'anno europeo dei giovani, che coinvolgerà giovani studenti, fumettisti, disegnatori e illustratori, influencer e creator, nella costruzione di una campagna di comunicazione social che presenti i vari programmi europei di riferimento.    📍Si terrà a Rimini dal 16 al 18 giugno e sarà possibile partecipare online e in presenza.    Per saperne di più vi rimandiamo al post sottostante della 👇🏻","Rome group of MSOI - UNYA Italy, the official United Nations Youth Association of Italy 🇮🇹 | Youth branch of SIOI - UN Association of Italy 🇺🇳"
"""Si può - e si deve - fare impresa con uno sguardo al territorio di riferimento"".    Questo è il messaggio che la nostra Francesca Romana Cicolella, in qualità di coach dell'evento, ha provato a trasferire agli studenti universitari che hanno partecipato al - Hackathon dell' , alla quale siamo grati per l'invito.    E' stata una fantastica occasione per raccontare come siamo nati e come siamo cresciuti in un contesto e in un mercato difficile, ma allo stesso tempo è stato il momento in cui abbiamo condiviso con i giovani professionisti, imprenditori e dirigenti del domani l'importanza di provare a lanciare iniziative ad alto impatto sociale nel proprio mercato di riferimento.    E' stata un'esperienza entusiasmante!    Di seguito alcuni scatti dell'evento!",265 followers
"I am Dell-ighted to announce I have been selected to work with Dell Technologies, as a Summer Intern.  After a gruelling 3 days of no sleep and round the clock work, me and my team and  was one of the most appreciated team in Dell's prestigious Hackathon ""Hack 2 Hire"".  I am gracious to and for supporting me throughout the journey.  I'd like to thank sir, sir, sir and Dr. Pankaj Vyas Sir for their constant support and guidance.    I wish to inspire my juniors and the open source community and in that spirit I have uploaded our project to my GitHub.  (Link: )",Polygon 💜 GUILD Jaipur Co Lead | Hackstack'22 winner | MERN Stack Developer | Back End Specialist | Blockchain Enthusiast | DevOps(learning)
"I am delighted to announce my team participating in the Dell technologies hackathon ""Hacktrick 22"". Finally, we are in the final phase.","Machine learning Engineer | Data scientist | AI Master's Student at the University of Ottawa, Canada"
DeLL GLOBAL ISG HACKATHON,"Senior Principal Software Engineer, C, C++, Go, Python, #NVMe, #NVMe-FC, #PCIe, #Linux Kernel hacking, #Linux Device Drivers, #STORAGE, #Device-Mapper, #Multipath"
I'm happy to announce that I'm in the final phase of Dell Hacktrick hackathon 2022.  It is a good experience in reinforcement learning and how to make the agents learn form their mistakes .,Computer vision engineer | MEng | Machine learning Engineer| AWS| Kaggle Expert
"Dell Technologies is launching its yearly AI hackathon, gather your team .. Register now and spread your magic with your code !!",Customer success Manager | Data Analyst | Career Coach
"Hello Connection ,  My first recognition in Cognizant !!  Glad to participated & received the rewards to presented my idea as prototype from EAS- Integration Factory Team in Dell Boomi Hackathon 2021.  Great Explore on Dell Boomi :)  Special Thanks to Associate Director -",Aspire to Inspire before we Expire
"It gives me immense pleasure to inform that we successfully completed our first ever Dell Federal Hackathon #HackQuest. It was a great learning experience and an exciting journey of 8 weeks, collaborating with the Dell Federal teams globally.      Kudos to all the participants for sharing their bright ideas and Congratulations to all the winners.      I would like to thank all the judges, & for helping to organize such an amazing event and I would also like to thank for giving me the opportunity to lead this innovative initiative    Keep Hacking!",Digital Transformation Leader | CRM | Salesforce-Lightning | Siebel | 4X Salesforce Certified
Our team is qualified to the (top 16) knockout phase in the Dell Technologies Hackathon.  Please wish us the best of luck.  Cluster-phobia tream.,image processing | Participant in robotics & Machine learning competitions | seeking summer internship in software development
"I’m elated to share that I’m starting a new position as a Digital Intern(Quality Assurance) at Dell Technologies    I won Dell's flagship hackathon ""Hack2Hire"" at MUJ.    I would like to thank my teammates , , , for supporting me through the Hackathon process.    I'd also like to thank the Department of Information Technology, MUJ for helping me throughout this opportunity.    I'm looking forward to gaining valuable skills and experience from this internship.",Java & Python Dev
"Presentamos al patrocinador oficial de la hackathon 2021, Dell Technologies que en conjunto con el equipo organizador EURUS traemos la Hackathon 4.0.  #Dellpanama #HackathonEURUS21 #EurusUTP #Tecnologia #4taVersion",158 followers
Dell ISG Hackathon 2021 People’s Choice award  Winner !  #hackathon2021  #delltechnologies,Software Engineer - III @ Cisco | Ex - DELL Technologies | CDAC ACTS PUNE
"Your chance to join this year’s, Dell Technolgies Hackathon for students and working professionals!  Gather your team and apply here before 24th of Feb:",Engineering Manager at Dell Technologies
Super excited to get to participate in the Dell Intern Hackathon this year with the wonderful Mansi Bhavsar and Dahlia Igiraneza! I know we have got this one in the bag! 😉 #hackathon #dell,Software Engineer at Dell Technologies
"I'm ecstatic to be a part of the preparations for Dell tech. Hackathon for the second year in a row #Hacktrick, and I can assure you that we're cooking up something special ;)    Stay tuned for biggest Hackathon of the year: !",Senior Technical Support Engineer | Isilon SME - Dell Technologies | MBA | ITIL V4 | ISM V3 | President of Rotaract FY23
"I am glad to announce that my team is one of the top teams joining Dell technologies hackathon ""Hacktrick22"".  I am really looking forward to working with my team Ranime Emam Aya Abdulwahab",computer engineer
Today I’ve received this awesome package from Dell Technologies for participating in Dell’s Hacktrick hackathon that kicked off last Friday 🤩  My team Ahmed Omar Ahmed Essam Ahmed Khaled was selected as one of the top 39 participating teams in the students track🔥🔥,Software Engineer | Session Lead @ Udacity
"Extremely happy and grateful to announce that our team consists of me, Omar Morsy, and Ahmed Mohamed was selected to participate in Hacktrick hackathon by Dell among 39 student teams and 27 working professionals.  Thank you for this opportunity.  We hope this will be a great experience for us.",I can make your data tell a story | Machine learning engineer | Fresh Graduate
"Last Thursday I joined Dell Hack2Hire hackathon and experienced a lot from it. Although our group did not manage to completely finish our project, but we definitely learnt a lot from it, from the ideation phase, design process, task delegations and the execution. Congratulations to the winning teams and the ones who got the internship placement, especially my team members , and who managed to secure the internship placement. Looking forward to learn more in the future🤗 Kudos to team Logos.",Software Engineer Intern @ Dell Technologies || BCS (Software Engineering) Undergraduate || Universiti Malaya || Yayasan Tenaga Nasional Scholar
"I am excited to announce that my team has qualified as one of the top 66 teams out of 317 teams participating in the Hacktrick’22 Hackathon by Dell Technologies. 🎉  Thanks, Dell Technologies for the amazing Giveaway ❤️     ",4th year CSE student @ GUC looking for part-time internship as a software engineer | MERN Stack developer
"It was an honour to be a participant in the Dell technologies hackathon ""Hacktrick 22""",Master degree at university of Ottawa || Ai & Machine learning
I am happy to share that my team “ I Have No Toe And I Must Go “ has ranked as one of the top 8 students’ teams out of 372 teams who applied in the Dell Technologies’ Hackathon Hacktrick’22 ❤️. I am really proud of my team and what we have achieved. We really did a great job. See you next year Insha’Allah at WP. But be careful because in this time we will have the Toe. 😉,CSE Fresh Graduate from GUC
"Celebrating our first Hackathon in Dell Technologies 🎉🎉.    Team MSG is back in action. With the same members, same team but a different Hackathon, we manage to come up the 3rd place 🥉.    The UIUX Hackathon is something new to us, where we were asked to design and a propose UI UX solution for the current . After nights of discussion and brainstorming, we came up with the idea of having a UI that implements the minimalistic design with small changes in the web page flow. We also research on the latest UI trend that can be implemented in our design.    On the presentation day, I am stunned by the other teams with their presentation. Their ideas are innovative and their presentation skills are amazing. Congrats to , , and their team for winning first place 🥇 and to , and the rest of team Peanuts for winning second place 🥈.       I’ve learned so much throughout the process, including on how to design an aesthetic UI, how UI design is related to human cognitive efforts, and many more. I really like the part where we receive feedbacks from the judges on our presentation. This helps us to acknowledge our weaknesses that can be improved on.    Thanks to the TIDE Hackathon committee for organizing such an amazing hackathon. Last but not least, once again thank you to my teammates and for the outstanding effort in making this a success.",Software Engineer at Dell Technologies
"Celebrating our first Hackathon in Dell Technologies.    Our team (MSG) had managed to come up as the second runner up in the UI/UX Hackathon.    The Hackathon objective🎯 is to propose a UI/UX solution to improve as well as to increase traffic and conversion rate of current . Joining this Hackathon as a first-timer, we did go through nights of discussion to brainstorm our ideas. In the end, we came up with the idea of utilizing the concept of minmalism, changing webpage flows, and implementing several latest UI/UX trend.    From discussion to desgin, and from prototyping to presentation, I had gained much insights. From one of the marketing model, AIDA model, we knew that it is important to identify the stages that a user goes through when purchasing a product or service. From here, we focus on our implementations and apply them in our final prorotype.    Thanks to TIDE Hackathon team for organzing this hackathon. Congratulations to every team for all the outstanding presentations and prototypes. Lastly, I would like to express my gratitude✨ to and for being the best teammates making this success possible.        ",Software Engineer at Dell Technologies | Huawei Student Developer (HSD) Campus Ambassador
Proud to announce that my team won the recognition of People's Choice for Dell Technologies ISG hackathon in Singapore.,Cyber Engineering Software Engineer
"My teammates Sam Doyle, Tom Mason, Ellen Tarrant, Janine Dunlea and I are thrilled to have won the Dell Technologies ITDP Hackathon 2022!    After working hard during the past few weeks, we were able to come up with a solution to the problem statement. We are very proud of our finished product.  A big thank you to for hosting the event and the judges, Gemma and Bryan. Also a big congratulations to all the other teams. Some amazing solutions were made!    It was a very rewarding experience and learning opportunity. What a fun way to end our bootcamp training before going into our individual work roles at Dell!",ITDP Software Engineer at Dell Technologies
Stay tuned for Dell Technologies biggest Hackathon of the year: #Hacktrick!  #Egypt #delltechnologies #DellTech,Technical Solutions Engineer at Google
Today marks the end of Dell HackTrick 2022 Hackathon.  We ranked the 17th in the students track over 39 Student teams and 27 Working professionals who qualified for the leaderboard phase out of 372 teams that applied.  It was a pleasure participating in the hackathon and it was a great learning and practical experience.  Thanks to all the mentors and everyone who worked on this amazing event.     ,Computer Engineering student at Cairo University
"I want to thank my team Youssef Saad, Nermeen Saber, Mariam Attia, and Manar El Bagoury for participating in Dell Technologies Hacktrick Hackathon",Data analyst intern @TAQA_Arabia || Junior Software Engineer || Junior Android developer with Java || Studying Data Science
"I am glad to announce that, we got the 3rd place in Dell Technologies Hacktrick hackathon which was about solving some AI problems, after competing with 39 accepted teams. I would like to thank my great team ESNA ( and ) which cooperate together to achieve that.  Thanks Dell for organizing such a great event.",Software Engineer | 2× ACPC finalist | GUC graduate
"Nothing like spending your birthday in a power outage while also trying to attend the second day of a Hackathon! Yesterday was a bit rough, but I still had fun working in the Dell Intern Hackathon (when I could) anyway. :)",Software Engineer at Dell Technologies
"Yesterday, my team and I had the opportunity to compete as one of the four finalists in the Dell Technologies EMEA Intern Hackathon.    Our team showcased a solution aimed at improving efficiency for intern data management by reducing manual administrative tasks through automation.    Thank you to my brilliant team, ,  and . It was a great experience working with each of you.    A massive thank you to all of the organizers, both staff and interns, for bringing us together for such a great event , , , , .       ","4th Year Student, BSc Software Development"
#هاكاثون_الشرقية #Eastern_Hackathon  The municipal innovation journey has came to an end. This was very important milestone to engage the public and Saudi’s technological capabilities in developing and advancing our cities. I am very proud of my team and looking forward to witnessing all these great ideas thriving soon.      رحله الابتكار البلدي انتهت بعد ٣٠ يوما من الارشاد وورش العمل والعمل الجاد والافكار المبتكره لتطوير المدن السعوديه.  ٦٥٠ مشارك من مختلف مناطق المملكة ، ٥٣ فريق ، اكثر من ٦٠ مرشد ومتحدث ، ٢٥ مشروع واعد في المرحله النهائيه و ٣ فائزين ووطن يتطور بجهود ابنائه.    فخوره كوني جزء من فريق عمل متفاني صنع هذا المحفل تحت رعايه ودعم معالي امين المنطقه الشرقية وشراكه العديد من الجهات والشركات والخبراء سعيا لان نكون جميعا ايادي تشارك في رحله التطوير والتغيير.,"PhD, Information Systems and Technology"
"Last Thursday, I was privileged enough to participate in Dell's Virtual Hack2Hire hackathon as my first real-deal hackathon (develop a prototype in under 24 hours). Co-leading the team alongside Daniel Wan Jonathan was no doubt an eye-opening experience. Here are some of my key takeaways:    1. Emphasis on each members' expertise is paramount to your team's success. Since this was our first time working on a fast-paced project, a slight lack of expertise in a certain domain/framework can slow down your progress by a considerable degree.    2. “By failing to prepare, you are preparing to fail.” – Benjamin Franklin. The planning phase in software development is crucial when working with a deadline. Even though our team took the initiative to break down the modules to be developed using Trello, we realized certain key aspects were left out eg. the wireframing of our user interface, as too much emphasis was placed on the backend logic of our application.    3. Communication is key when attempting to convey your ideas to your team members and stakeholders. As future developers, the ability to think clearly determines your ability to relay information. Clear thinking == clear communication.    All in all, I want to give a huge shoutout to my Logos teammates , and for tanking through a whole day of continuous coding, as well as for mentoring us from the development side of things all the way to the presentation. Although we couldn't achieve exactly what we initially set out to do, we definitely had a ton of fun and learned a lot along the way under your mentorship.    I would also like to thank for the internship opportunity for my next semester. Very excited for what's to come!",Intern at Dell Technologies | KopiDAO Scholar | Treasurer at Teraju Siswa UM | BCS (Software Engineering) at Universiti Malaya
"Celebrating my first internal Hackathon competition in Dell Technologies    Our team (MSG) manage to come up as the 3rd place in this UIUX Hackathon.    The Hackathon is new for all of our team members as none of us is specialized in this field. The aim is for us to propose UIUX solution for the current . After nights of discussion and brainstorming, we came up with the idea of using minimalistic concepts, changing the flows and also implementing some latest UI trend.    I’ve learned so much throughout the designing, prototyping and testing process. Our team aims to improve the overall buying experience by focusing on what will be their first impression and directing level by level to narrow down their choice.    Thanks to the TIDE Hackathon committee for organizing this hackathon. Lastly, a big special thanks to my teammates  and  for making this a success.        ",Software Engineer at Dell Technologies
I am glad to announce that my team has qualified as one of the top 39 teams participating in Hacktrick Hackathon organised by Dell Technologies ♥️💪  I am very excited to do great work with my teammates,Big Data Engineer at Ejada |Student at Ain Shams University | Deep Learning Engineer at NajahNow | IoT & Computer Vision at The Sparks Foundation
"It was a great experience to participate in this year's Dell HackTrick Hackathon and rank the 17th out of 39 Student teams and 27 Working professionals who qualified for the leaderboard phase out of 372 teams that applied. 🔥  Special thanks to the mentors and , they really helped us and made a huge effort to help everyone.❤️  Thanks to all who worked on this amazing event 😄  Thanks ❤️  Happy to work with you , ,  ❤️  It was a great journey, see you next year 💪🏻",Artificial Intelligence Student at Cairo University
Here’s my UI design for the Dashboard to dell tec hackathon 2022    #delltechnologies #problemsolving #artficialintelligence #machinelearning,Master degree at university of Ottawa || Ai & Machine learning
"#Dell_Technologies_Virtual_HACKATHON    Hello Everyone!  I want to participate in Dell Technologies Virtual HACKATHON but I still have no team, if any one is interested please feel free to contact me.    If you have a team and have one extra space for another one I can join as a Machine Learning Engineer, you can find more about me in my profile.    Or If anyone is interested in building a new team with I am waiting for your comment or message.    You can find more information in the link bellow",Data Management Expert & Data Analyst
"Last week I got the opportunity to participate in the Dell Technologies Intern Hackathon competition. The Hackathon involved two problem statements which were a Tech problem statement and a Non Tech problem statement. We decided to do the Non Tech problem statement.    I was delighted to work with , and . Throughout the time we worked together brainstorming possible solutions and in the end we presented to the Intern Core Team which was a great experience.    Thank you to the Intern Core team and for giving us an opportunity to participate in this.",Business & Accounting Student
"I am delighted to share that my team and I have won the Dell Ireland's 2021 ISG hackathon in the ""Innovating How We Work"" category.    Great work by , and Caoimhe O'Keeffe! Well done everyone!    I am looking forward to take our idea further over the coming months!",Software Architect and Team Lead at Dell Technologies | Sizer Development and Acceleration
"Last weekend, I got an opportunity to be a panelist among previous year winners at the annual hackathon at the Gates and Dell Complex in The University of Texas at Austin. I presented my views on how our team successfully built a hackathon project, and provided valuable insights on staying motivated throughout the time period. I also got to hear the journey and success stories of other panelists.    I would like to thank UTAustin, and for organizing this wonderful event.",Advanced Software Engineering Intern
"""A fight you didn't win, is your secret weapon in the next one""    In 8 days, we, Cluster-Phobia Team, equipped our robot with intelligent thinking to decide the optimal action each time to prepare some orders from various ingredients. Which enable us to reach the round of 16 in Hacktrick Hackathon held by , also got one of the highest points in the round of 16 (single mode) but we were not lucky in the collaborative one cause of time shortage.    The problem was to teach your robot, using reinforcement learning or rule-based algorithms, to prepare some labs having specific ingredients, cooking time, and points, also it must interact with a different map for every round each has two modes ""single, collaborative"".    I was pleased to participate in this hackathon and hope to join the next one, it was really amazing.       ",Service Cloud Specialist @ Scandiweb | Bug Hunter (eJPT) | Founder @ Cyberus Stud ASU
We finished 1st!    I’m glad to announce that we won Dell Technologies’s AI Annual Hackathon for the working professionals. It was a tough challenge but we managed to pull through!  Thanks for the organizers for such a great event.    Special thanks to my teammates,R&D Engineer at Swvl
"Today is the last day of my internship at Dell Technologies in Austin, TX. This summer, I am so happy to work with two awesome teammates Chloe Fallon and Ryan Barner in the Storage Drives Planning team focusing on forecast modeling within Demand Planning.    During my ten weeks internship, I am so grateful to have the chance taking this challenging project by building, leveraging, and improving Aging and Upgrades forecasting models using in storage drives demand planning. I would like to say a huge Thank You to my manager , project mentor , project buddy , and the whole storage drives planning team for always guiding and helping us along the way.    Besides completing my intern project this summer, attending Dell’s P&O NA intern Hackathon and winning the 1st place of the Hackathon with four fantastic teammates , , , and was such an amazing experience. Within two days, our team Delly Delly presented Dell a solution to delight the customers through Augmented Reality technology by integrating IOS AR kit and Swift programming. Thank you for being our team’s Hackathon advisor and offered so many helpful advice. I am so proud of everyone and also being thankful for this opportunity to implement our ideas and show our solutions.    In the end, I would love to thank my coffee chat mentor , my ERG mentor , and all the former or current SCDP members who spent time chatting with me in 1x1 about their career and experience, giving out great advice, and always being supportive and helpful whenever I reached out. Hanging out and getting to know other Dell interns this summer is such a wonderful and unforgettable experience! Thank you to all those people who helped me learn and grow this summer at Dell. I cannot wait to seeing everyone grow and make great accomplishments in the future!",Senior at Boston College | Incoming Process Engineer at Dell Technologies
"Extremely proud of my team on being named winners of the Dell Technologies EMEA Intern Hackathon 2022.    From May to June, a number of teams were tasked with developing and prototyping a technical solution that would “diminish the manual tasks for administrators working on intern reporting, making their time more valuable.”    Our solution incorporated a SharePoint site and PowerAutomate to automate the intern reporting process’ key functions such as notifying stakeholders and gathering data.    I’d like to thank and all involved in the Hackathon Core Team for hosting the event and a special thank you to my fellow Le Casa De Intern team members and for the outstanding work they’ve done.",Dell Technologies Campus Ambassador for UCC | Finance Officer for UCC Music Society | Final Year Business Information Systems Student at University College Cork
So happy to take place with my team at Dell Technologies and Hacktrick hackathon this year.  Magued Mahmoud,Machine Learning Engineer at egabi Solutions
"This morning, my team and I got the opportunity to compete in the Dell Technologies EMEA Intern Hackathon Final 2022. It was amazing to be one of four groups to get into the final and showcase our solution to the given problem statement which was 'How might we create a dynamic way of showcasing our program achievements to our stakeholders'. In the picture below is a summary of our idea we created to solve this problem.    It has been an unreal experience getting not only the opportunity to take part in this but to be apart of the Intern Core Team also, helping to organise the event! Proud to have worked with such a fantastic team.",Final Year Student studying Business Information Systems at Munster Technological University
"It's hackathon day, here at Dell EMC !  time to judge the submissions. every year, I'm amazed of the ideas coming through","VP Technologists, ISG at Dell"
"Programadores, bora para o Hackathon Show Rural Coopavel!  Dell Technologies","2,536 followers"
"Last Week, my team and I were delighted to have the opportunity to compete in the Dell Technologies EMEA Intern Hackathon Final.    We were one of four groups to make it to the final, our team came up with a non-technical solution to this years problem statement was    “How might we create a dynamic way of showcasing our program achievements to our stakeholders”    We created a dynamic solution by introducing automation and making sure the data collected is more accessible and managed effectively.    It has been a brilliant few weeks networking and working with my team.",3rd Year Bachelor of Business In Marketing Student at Munster Technological University
مسابقة Hackathon للAI من شركة Dell Technologies    الآن التسجيل متاح حتى يوم ٢٤ فبراير للفرق من ٣ إلى ٦ أعضاء. يمكن للطلاب وكذلك الخريجين التقديم في المسابقة    هدف المسابقة هو استخدام الAI لتحسين أداء المهام المختلفة ومساعدة الجميع في تحقيق حياة أسهل في العصر الرقمي    جائزة الفريق الفائز سوف تكون ١٢٠٠٠ دولار أمريكي    رابط التسجيل والتفاصيل الكاملة:        يمكنكم التواصل معنا عن طريق جروب التليجرام:        نتمنى كل التوفيق لجميع المتقدمين,"Big Data Engineer | Data Science | Data Analysis | AI and Big Data Session Lead/Instructor | Consultant, and Trainer"
"Yesterday, my team and I had the opportunity to compete in this years Dell Technologies EMEA Intern Hackathon final. As one of four finalists across the EMEA region our team showcased a solution around automating processes and dynamic showcasing of program achievements accomplished by the intern core team.    A massive thank you to the intern core team , , , and for organizing and making this great event possible. As well as to my fantastic team , , , and for brining this project together and making this an unforgettable experience.",EMEA Storage Center of Competence Intern at Dell Technologies | M.Sc. Digital Business & Management
"It was a pleasure to be nominated to present today along with my team at the final of the Dell Technologies EMEA intern Hackathon competition.    Four teams from across the EMEA region reached the final, and presented their solutions to the technical and non technical problem statements. Our solution focused on realising the modes of communication best suited to different sets of stakeholders, namely students and the social media app: Tiktok.    Collaborating with my team to bring this project together was a thoroughly enjoyable experience. I’d like to thank them, and the EMEA internship core team for making it all possible!",Final Year Commerce Student at University College Cork | Majoring in Markets and Consumer Understanding
