,Post
13,"Over the past week, the YouthxHack initiative from Cyber Youth Singapore concluded with a blast with different booths set up by participants to showcase their solutions to the various judges from ST Engineering, Exabytes Group, and Mandiant.

This year's YouthxHack initiative focused on the theme 'Automation in Cybersecurity', whereby teams looked to innovate and ideate solutions within the offensive, defensive, and investigative sectors of Cybersecurity.

With YouthxHack's aim to bring together like-minded individuals to the currently evolving technological landscape within Singapore, the hackathon's key focus was not based on the technical skills of the participants, but rather, the creative and surprising ideas participants could come up with, while inculcating the different perspective and aspects from different parties from organizations (towards real-world business gaps) to even non-commercial use (towards general users like you and me!).

Being lucky enough, I was presented with the amazing opportunity to oversee this 6-day hackathon as the Program Director. Alongside with Chong Hong Yau, we ensured the logistics & communications with externals sponsors and participants. Without a doubt, a huge thank you to both Hong Yau & the Cyber Youth Singapore team who ensure that all plans and executions were performed without fail.

I would like to thank the sponsors, ST Engineering (title sponsor!), Exabytes, and Mandiant for their continuous support throughout the course of the hackathon! This hackathon brought the experts within these organizations to the youths, acting as a bridge between these two differing parties!

We can't forget the Singapore Polytechnic's Diploma in Integrated Events & Project Management (DEPM) student team who supported us with numerous back-end and last-minute late-night plannings😅! Thank you all so much!

All in all, the YouthxHack initiative was a great success! Congratulations winning teams - from the sponsor champions, to special mentions and all the participants!

See you next time!

#cys #stengineering #exabytes #mandiant #youthxhack"
14,"Today APAC Mendix is hosting our first ever on-site Low Code For Good hackathon in Singapore!

Celebrating with over 50 hackers on-site! Check out our awesome SWAG box for hackers!

Jan de Vries Cristina Samaniri
Vincent Lim Benjamin Chong Rachel Xie Yin Weiying Tay Rea Sih (IHRP-CA) Rachel Tan Tarig Elomari Abel Verweg Coos Riesmeijer CHINTAMANI BAGWE Ken Khor Chester Seah AL HACINAS Ankur Vig Simon (Seongtaek) Cho Ken Khor Chester Seah AL HACINAS Ankur Vig Théo Le Corre Alvinn Y. Bryan Liang Diana O. James Lee Lazar Cirkovic Harsha Shetty Jornt Moerland Finbar James Brown Lisa de Man Prakash Mulani Alvinn Y.
#mendix #lowcodeforgood"
15,"Conducted a half-hour sharing at week-long GovTech Singapore GeekOut hackathon for Poly and JC students held from 13-18 June.

I talked about my journey as a GovTechie working in different projects over the years, before segway to the main topic on accessibility!

I shared what accessibility and inclusion means, an intro to assistive tools, and why we should build for accessibility. Building a product/service for accessibility not just benefit persons with disabilities, but everyone.

Glad to meet the young inquisitive minds with their questions, and hope the talk helped to ignite interest in accessibility for our future tech talent!

Photo credits: GovTech Singapore

#inclusion #a11y #careersintech"
16,"The Ministry of Home Affairs Singapore launched its Innovation Month last week – a series of learning journeys, innovation workshops, hackathons and challenges to imagine and create #HTFuture. It was a privilege to hear presentations from Dr Soon Joo Gog and Bryant Kok at the launch event, and to interact with them during the panel discussion which followed, together with my Senior Director Hooi Boon Phua.
 
Bryant shared how it was important for Gardens by the Bay to create mindshare through its digital products, especially during #covid19, so that it remains a top destination for #Singapore – something never to be taken for granted. Dr Gog shared insights from SkillsFuture SG’s Skills Demand for the Future Economy report, and helpfully contextualised the priority skills that are relevant to support the Home Team’s transformation journey.
 
It was a timely reminder of how organisations that are already at the top of the game have to keep innovating, and to keep learning from others. One message from Dr Gog’s impassioned advocacy that resonated with me – don’t outsource your personal learning to your organisation or your bosses, because transformative assets of skills and experience are your own!
 
Thanks to Shang Yi Chia for the jio – this was fun to do!"
17,"[Hack For Good 2022]

HackForGood 2022 concluded last Saturday and it still feels surreal that we made it as a finalist. For those unaware, Hack For Good is an annual student-run Hackathon by Google Developer Student Clubs NUS (GDSC NUS), that consists of real problem statements from Non-Profit Organisations (NPOs) in Singapore. This hackathon serves as a reminder to us all, that technology can, and should, be used for good. As the euphoria of being a finalist subsides in the coming days, I would like to take this opportunity to give special thanks to two of my team members.

Lim Jie Rui joined the Hackathon without any prior experience in HTML/CSS. As a quick learner, he managed to grasp concepts of Web Development (in a day) and contributed a substantial amount to our final demo product, which was made using Bootstrap 5 framework.

On the other hand, Sean Ho consistently went beyond the scope of his delegated task and offered help to me, as I balanced this hackathon with my school work.

And last but not least, a special shout-out to Google Developer Student Clubs NUS (GDSC NUS) for once again hosting another successful event.

Let us all #BePartOfTheGood today!

#techforgood #socialgood #nus #computing #technology #webdevelopment #event"
18,"Hackathon 2022
Singapore Institute of Management (Young Entrepreneurs Association)

Had the most amazing time, learning and pitching at SIMYEN's Hackathon 2022.
The Themes were:
-Environmental Sustainability
-Mental Health

My idea - a service that helps patients with Mental Health issues through the process of creating and listening to music!
I guess the judges liked it! 😊

Let's connect if you want to discuss (or jam)!

#firstplace #sustainability #management #mentalhealth #singapore #music #hackathon2022 #entrepreneurs #learning"
19,"When skeptics keep calling you a “diversity hire”, so you found more minorities like yourself and inspire even more!

Last Saturday, I volunteered with Malay Muslims iN Tech and Yayasan MENDAKI to share tech career advice!

20 Malay-Muslim professionals from different tech companies shared our experiences and advice on working in tech to over 130 students. Said students came from various backgrounds - madrasahs, JCs, polytechnics, ITE and universities.

In addition to a panel discussion with GOH Rahayu Mahzam and Sharael Taha , we also used VR to launch a hackathon (more details soon!), split into breakout sessions for closer discussions, and even toured the Google Singapore office.

It is an incredibly inspiring event for both students and volunteers. Here’s to more events to get more Malay-Muslim youth into growth sectors!

If you are a Malay-Muslim tech professional living in Singapore, check out our LinkedIn group 👉 https://lnkd.in/gY6ajDp7

Satria Sadon Rahmuna Abdul Samad Rubi Ismail Nadia Abdul Malek Rahwani Samad Ella Badis Amalina Abdul Nasir Siti Suhaila Sualiman Irwan Zainol Haikal Fadly Mohamed Ariffin Hafiz Azman Helmi Jaafar - BBLaw, BCrim Izhar Rahman Johan Osman Hudzaifah Latiff Hafiz Roslee

#techjobs #mentoring #youth #representation #careeradvice #networking #singapore"
20,"Proud to be part of LifeHack 2022 - NUS Students'​ Computing Club’s flagship hackathon and witnessed fantastic + innovative ideas at today’s finale!

This year’s LifeHack was the largest ever student run hackathon in Singapore - which saw 577 participants and 182 teams joining the week-long hackathon, workshops and games.

Congrats to the Overall Winner Team Goose and the Top 3 teams in the 3 categories - Safety (Team Quest Busters) Environment (Time Git Life Reset), Giving Back (Team Goose). It was no easy feat! Kudos to a great team working behind the scenes Arnav Gupta Abhishek Jain @stanley


NCS Group is proud to support LifeHack as club sponsor, together with TikTok and @ccsgp. Kudos to all the winning and participating teams, and all our youth as you continue to harness technology for good. We hope to inspire and build our next generation of innovators, learners and change makers, so together, we can advance communities, and make the extraordinary happen.

www.NCS.co

#ncs #ncslife  #nus #hackathons #nucleus #graduaterecruitment #graduateopportunities  #techinternships #software #cybersecurity #technology #computing"
21,"Over the weekend, I had the pleasure of participating in National University of Singapore's Hack&Roll 2022, one of the largest student-run hackathons in Singapore. Extremely delighted to have clinched the Most Socially Useful Hack award, together with my immensely talented teammates Lyn Tan, Caleb Cheam and Clarissa Bella Jew.

For this hackathon, we developed payMElah, a Telegram bot that takes in a picture of a receipt and splits the bill for you. Ever experienced the headache of splitting complicated bills among friends after a long day out? Well so have we, and our bot aims to take care of that.

We built this using the Telegram bot API coupled with Optical Character Recognition using pyTesseract. Despite the entire team being new to both tools, it was very inspiring and heartwarming to see the team power through the development process and producing a working product in less than 24 hours. Find out more using these links:
Devpost - https://lnkd.in/gHqUXK8h
Github - https://lnkd.in/g8A538FZ

I'd also like to thank the judges for their valuable and insightful feedback during the presentation stages, as well as the organizers NUS Hackers for an amazing job well done in making this all possible. Kudos to you guys! It was truly an enriching experience.

#singapore #university"
22,"Exciting weekend with the Nanyang Technological University Singapore IEE Hackathon - iNTUition taking place today & tomorrow. MSD is glad to be one of the platinum sponsors for the hackathon. Join the opening ceremony live stream at 9 am today via https://lnkd.in/gScBUY3a

#tech #hackathon2022 #graduate

Julie Olszewski Chee Tuck Chan Jason Tamara Widjaja Edmund Chong Ada Joyce Gonzales Jenni Ng Ramprasad Sivaprakasam Pranav JOSHI Arpita Bhowmick Dylan Yap Eunice Lee Li Ping Cheah Sajesh Kumar Mona D. Sim Min TEE Priya Prakash Jodie Siow Chun Yen Ananya Saxena Janelle Zou Yew Jia Hao Jie Min, Jasmine TngYuqian Chng Alvin Lim Gladwin Ho Prem Kumar Piragalathan Loganathan Charlene Ong Weiwei Luo Tiffany Yap 叶田玉 Jenny Truong Kiran Bodipati Wilson Huang Choong Ivan-Ck Danny Gan
"
23,"It is a great honour to be chosen as one of the participants for JPMorgan Chase & Co. #codeforgood hackathon across Singapore and Hong Kong today! It has been an enriching experience so far to brainstorm with our mentors and team members to come out with real-world technical solutions for NGOs in 24 hours. It has definitely broadened my perspective towards real-world problems that has been often neglected. I am also grateful to be assigned to this wonderful team, where we networked and learnt a lot from one another - Jia Yuan Chee, Eng Siang Teo, Noel Mathew Isaac, Jia Xin Toh, Mai Feng Ng, Charlotte Chua.

"
24,"🔻 SPECTRUM OF MENTAL HEALTH NEEDS 🔻

Had a great time last week at BNP Paribas Singapore where I had a chance to share about employee wellbeing. This was a segment of the EXCITE Hackathon 2022 that was organized by the Design Lab led by Daniel Han and team.

Thanks for the invite!

Great questions facilitated by Robyn Lee as it gave the audience a very good overview of the employee wellbeing space at the moment, for the participants to be able to ideate and tackle the problems empatheticlly.

One of the questions asked was on wellbeing trends, specific to mental health.

Undeniably, this is on the top of every business owners', CEO and HR directors' minds as they try to navigate the increased uncertainty and an ever unfulfilled workforce.

I shared that personally, I feel that mental health needs for organisations can be seen as a spectrum which is already moving into the learning and development (L&D) space as well as the executive coaching space. From dealing with employees who need clinical help, to those that are on the brink of burnout, to those that require coping strategies, to those that are thriving, to those that are consistently peak performing. The mental and psychological aspects of an individual overlap here in more ways than one.

Looking forward to hear what solutions the participants would have come up with through this entire design thinking exercise.

#designthinking #wellness #wellbeing #employeewellbeing #thoughtleadership"
25,"Mendix hackathon with the Singapore Poly team. Great guys giving back and making an impact with Social causes.

"
26,"PolyFinTech 100 API Hackathon organizers published a video recording of the Category Finals held on 24 Sep. JP Morgan sponsored the Decentralised Finance category and our winning team PI-Thon will compete with other category winners at the Grand Finals on 3 Nov at #sff2022. All the best to team PI-Thon!

https://lnkd.in/gxcxjFKZ

Edward B. Irene Lim, 林翠铃 PMP® Naveen Mallela Suresh Shetty Sai Valiveti Raunak Rajpuria Ker Wei Xiang Xue Yun Kiang Khiang (KK) Tan Tristan LIM Lucas Ho Aleanor Tan Ng Cai Xian Jefferson Tan Jiatong Shang

#GTAPACEngage"
27,"Last week ended on a high note as I had the opportunity to be a tech mentor at Microsoft Singapore's Power Apps Hackathon 2022.

School educators from various Singapore education institutions came together to build applications using Power Apps. The theme revolved around improving student engagement and enhancing collaborative learning, thus cultivating a culture of connectivity in a hybrid learning environment.

There were so many brilliant ideas in the room that day and the ones I particularly liked were those that addressed student wellbeing and encouraged student collaboration especially among the lesser engaged.

Cheers to the Tinkercademy team for this event, I'm glad to have finally met you face-to-face! 😊

#hackathon #powerapps #powerbi #powerautomate #dataverse"
28,"Last month, my team Clarissa F., Regina Cheong, Amanda Tan and I competed in Singapore's first Psychology Hackathon where we were challenged to propose a solution to improve the lives of Singaporeans in our post-COVID world. Hence, our team conceptualised The Scam-tidote - which aimed to educate the public on cognitive biases as a means of scam prevention.

After two months of hard work, we are thrilled to have emerged as the winners under the sub-category of Forensic Psychology!

A huge thank you to our mentor Parandaman Thechanamurthi for your valuable feedback and guidance, as well as Singapore Psychological Society for hosting this event."
29,"Grateful to be awarded the Most Beautiful Hack 😍 in National University of Singapore's Hack&Roll 2022 last weekend, Singapore's largest student-run hackathon with 700 participants and 250 hacks.

Lawson Teo and I worked on PomoPals, a pomodoro timer for remote teams and groups of friends. The inspiration came from our daily struggles as students. Pre-Covid, we used to study together since we all stayed in hall. However, once we shifted out of hall and with the pandemic ongoing, it wasn't as easy to study together. As students, many of us face the monsters of unproductivity and procrastination, which are all the more harder to fight alone.

Was definitely a great way to end off my uni life with a sleepless night designing and coding 🤠👍🏼 More details can be found under our project's Devpost link below! Thank you organizers and judges!

https://lnkd.in/gvG_92Er

#project #university #hackathon"
30,"Last month, Regina, Faythe, Amanda and I competed in Psychathon 2022, Singapore’s first psychology-themed hackathon! With digitalisation, we believed that combating the issue of online scams would greatly improve the lives of Singaporeans in a post-pandemic world. Hence, we conceptualised The Scam-tidote, which aimed to target cognitive biases as a means of scam prevention.

Thankfully, our efforts paid off and we were awarded with first place in the Forensic Psychology category! This would not have been possible without the guidance of our mentor, Mr. Parandaman, and the hard work of the event organisers from Singapore Psychological Society. Looking forward to more meaningful programmes like Psychathon, where psychology students can collaborate with one another and connect with industry professionals!"
31,"2 years flew by - DORSCON orange first announced during reservist, taking the plunge to properly start my digital skills journey through a full stack bootcamp with Le Wagon Singapore, trying random hackathons on devpost and then stumbling across the better.sg community. It was through better.sg that I met Rohith Srinivas and later Lim Ngee Yong. I will always be thankful for their energy in building and growing the various initiatives (String and TalentGeist) through the days of COVID.

This was the first in-person better.sg community meetup I’ve attended, kindly hosted by the staff from Google. Reconnected with very kind people who supported the digital skills education projects Joanna Lim; met inspiring designers/ entrepreneurs Melvin Lim and Shihui Kong who are also exploring ways to use their tech skills for social good

Two things I really learnt/ appreciated:
1) Energy and community management - as Gaurav Keerthi facilitated the pitches, I could not help but also feel excited for the various project leads whose energy rivals that of startup founder meetups. Good seeing Lloyd Soh again too, always fun to see ex-debaters pitching exciting digital projects :)

2) Systems - looking back at the very first email from better.sg about two years ago, the onboarding process was seamless. Access to Notion, Slack were all associated with a Google account; introductions from Typeform were reposted on Facebook and Slack among other automations. Now there are beginner friendly templates for project management among many other resources. This raised the bar for onboarding and helped me think a lot more about how to improve the #userexperience when joining a new organisation

Thanks Chi Ling Chan Gaurav Keerthi and team - better.sg helped me to meet like-minded people, learn about digital systems/ digital skills education and bring some insights back to both the classroom and various other initiatives

#community #techforgood #singapore"
32,"About 2 weeks ago, I am glad to have the opportunity to be a Tech Mentor again to #educators at Microsoft Singapore's Power Apps Hackathon 2022.

This year, the #event was on-site as compared to being online last year. The theme is to increase student engagement, to enhance collaborative learning, and to improve social connections across educators and #students.

There were many brilliant ideas coming from the educators integrating the various Power Platform in their apps.

A big shoutout to #Tinkercademy team for the #opportunity to be involved in this event again.

#hackathon #powerapps #powerbi #powerautomate #dataverse #microsoft #singapore"
33,"Incredibly honoured to win the Top Prize (Shared 8) in National University of Singapore Hack&Roll 2022, Singapore's largest student-run hackathon with 700 participants and 250 hacks.

Together with my teammates Martin, Luke and Dylan, we created a game inspired by Jump King with elements of cryptocurrency, where the goal is to jump up to clear all the stages and take your Altcoin to the moon!

The game models the erratic nature of cryptocurrency prices and is certainly harder than it looks! You can checkout a demo playthrough over here https://lnkd.in/gu7rpvwm

If you are interested, feel free to download the game from our Github https://lnkd.in/g7abjXPD

I am extremely proud of our team and am excited for more hackathons to come!

#hackathon #game #cryptocurrency"
34,"I’m so pleased to announce the winners of the annual AI for Accessibility Hackathon winners from Thailand, Singapore and the Philippines!

This is the third year we’re running the event, where creators, developers and innovators use artificial intelligence (AI) to solve real-world problems faced by people with disabilities in Asia Pacific.
 
With one in every six people in Asia Pacific living with a disability, it’s our collective responsibility to ensure our communities are inclusive & accessible. The hackathon is one of many events we’re hosting in the month of May as part of #MicrosoftAPAC Accessibility Awareness month. 
 
Jenny, Ahmed, Sandy, Hui Li, K Raman, Dharma, Tram, Dhanawat, Peter, Ji Eun, Sook Hoon, Pratima, Rahul, Chin Yau (CY), Annie, Candina, Supriya, Renee #Accessibility #ArtificialIntelligence #leadership"
35,"My team, consisting of Ariel Tan, Cheong Zhou Ming and I, are participating in L'Oréal #brandstorm2022, and we’re happy to share that we managed to emerge as one of the three National Finalists in the Brandstorm 2022 green track! 🥳🌿

This is my first case competition and I am genuinely grateful for this opportunity. It is a privilege to have been selected out of the 80+ impressive teams who participated.

Yesterday, we were invited to L'Oréal Singapore Office for Hackathon Day. We got to interact with various experts (Tarun Chopra and James Cai) in the field to gain advice on the industry, our pitch and our presentation.

Furthermore, we had an insightful sharing by Natalya Ann Thora Twohill on how we can improve our pitch for the competition.

I would also like to thank the Brandstorm team Si Xian Lim, Damon Khan, Neevethaa Ravindaran and many others who have been so accommodating and supportive throughout this journey.

Lastly, thank you to my team for the intensive and rigorous hours of discussions and meetings over the past few weeks. 😊"
36,"Where did everyone go?

We launched Startup Weekend Global 2021 yesterday, but this time around we launched it on our metaverse.

It was surreal to see hundreds of participants flood in to join us on the platform for the launch in addition to our audience on Facebook & Youtube, and it was amazing to be able to be together virtually for the launch!

Big thanks to Renaud Visage and Maelle Gavet for gracing the launch, Techstars for being a great partner, and our sponsors for making this hackathon possible! WeWork Singapore International Foundation Turing.com Aspire Miro & of course not forgetting the hard work of the organising team Durwin Ho Raymond Doraisamy Joyce Tay Shih Han Wong Timothy Ho Hussein Sulaiman Christine Ng Jiaming Ow Zavier Low Jann Chia Gabriel Broughton Vincent Yee

With great challenges come great opportunities for innovation, and excited to see the ideas that will come forth over these 9 days - bringing innovators and entrepreneurs from across over 80 countries together, to tackle pressing global issues today.

Stay tuned for the finale on 20th November, and you can still get observer tickets to join us here: https://lnkd.in/gzTsTYqu

#startups #StartupWeekendGlobal #startupweekend #sustainability #techforgood #innovation"
37,"After two days’ efforts, our students/young scientist had a great achievement in Hackathon SEACAS 2022 Singapore. It is my pleasure to give the certification to the first winning group!

All ideas lead us to future innovation to be contributed back to our society!

Especially, special thanks given to Asia CAS chapter’s funding support, Vietnam, indonesia, Malaysia CAS chapter’s physical attending with excellent technical talks!

Lastly, thanks for local organization committee to bring this success in just two weeks. Looking forward to have more activities for 2022.

#continental #IEEE"
38,"🦄 A week ago marks the successful ending of Solana Labs Summer Camp Hackathon held in Singapore!

👀 As a media skills-first tech skills-second individual, I joined SCHack hoping to meet other brilliant builders, learn more about what they’ve built on Ethereum/Solana, and sharpen my knowledge on technical development. Everyone seemed to share similar goals and excitement, which made for an inclusive environment.

👾 Educational workshops around the Solana ecosystem and code-along sessions were conducted every week. A list of project ideas was also supplemented for anyone needing a spark https://lnkd.in/gi8qymXQ e.g. building DAO frontend on SPL Governance, creating an on-chain carbon market, bringing new-to-crypto users onboard to Web3, and more.

🌈 With my talented group mates, Ying Zhe (George) Loh, Loh Kok Wee, Liam Ayathan, Maaruni Pandithurai and Yun Waddy Soe, we took our time to brainstorm project ideas, with initial ideas tending towards climate-related topics, then slowly moving into NFT ticketing, and finally to physical token-gating. But why stop where TokenProof and MintGate were already doing great in?

In a week, we built a working demo that illustrated how easily event creators can verify NFTs and allow individuals access to a physical space. These NFTs also have the potential to evolve once pre-requisites, set by the creators, are met. With the aim to simplify a manual process event creators go through when verifying NFTs, SolMate supports these creators in delivering a truly Web3-centric event without them having to break their time and money bank to reinvent the tech wheel.

💜 Check out some screenshots from our pitch deck, like/comment/demo avail if interested, and lastly, special shout-out to the awesome organisers at Metacamp (previously OpenHaus) - esp. grateful for their builder-centric community!

#web3 #blockchaindevelopment #hackathon #solanahack"
39,"Great to be part of the first in person hackathon event at Microsoft Singapore. Excellent energy and enthusiasm from people, coming together in proposing amazing solutions to real world problems. #MicrosoftHackathon #Singapore"
40,"I am so honoured to be able to participate in the ASEAN Green Hackathon organised by Singapore College of Insurance.

Our research statement involved a critical analysis of the potential challenges faced by ASEAN insurers to underwrite green insurance products as well as how these products can help attain the United Nations Sustainable Development Goals.

It’s been a great learning experience as we gain knowledge and understanding of these topics in our research journey. Appreciative of my awesome Team Panda Warriors - Yan Wen, Ming Yang and Shiting, who have made it possible for us to emerge as the overall winner for the Research (Open) category.

“You must be the change you wish to see in the world.” — Gandhi

https://lnkd.in/gfeBzanH"
41,"Snap a photo, upload it, share it, and we've got Instagram. A microblog at your finger tips, with likes and comments enabled.

Now take this another step further with snap, upload, share + sell, and we've got Carousell! With one key additional concept, an innovative idea was born, and a marketplace for Singaporeans to clear unwanted items for some money became available.

Two of the co-founders from the National University of Singapore, had joined Singapore’s Startup Weekend hackathon in 2012, and despite having joined it for fun, they received validation for the product on the spot, which gave them the confidence to take the idea further. A landing page was then created, with a few hundred emails collected, and when they had requests for an app download, the founders knew that they had to put together a team and make it a full time venture.

Carousell Group has joined the unicorn club in September 2021, with over 150 million listings and 50 million items sold in 7 countries: Singapore, Australia, Hong Kong, Indonesia, Malaysia, the Philippines and Taiwan.

So here are my innovators of the week, Lucas Ngoo, Quek Siu Rui and Marcus Tan. It's certainly great to see successful technopreneurs on our little island, with more to come I hope through inspiring stories like theirs.

#startup #app #marketplace

Links to sources of my post in comments."
42,"It was great experiential participate in 1st Hackathon event organised by Singapore team, along with finops members Sachin Kukreja Jovalene Teo Lynn Wong Genevieve Ang


#hackathon #microsoft #innovation #msftgarage #howyouthrive"
43,"The Microsoft Global Hackathon is a company-wide, multi-day, global event produced by #TheGarage that brings employees and interns from all over the world together to create, innovate, and hack on ideas.

I am truly delighted to attend in-person hackathon event at Microsoft Singapore where we could discuss some of the top industry challenges and could ideate solutions.

Thank you to my awesome hack team for bringing the energy, creativity, and enthusiasm.
Kudos to amazing hack crews & advisors for amazing support!

Ahmed Mazhari Sandy Gupta Hui Li Lee Ram Reddy Yerrabotu Sunil Sattiraju Arpit Maheshwari Ankita Chakrabarti Srikanth Sridhar Debananda Ghosh K.Mohamed Faizal Liu Liu Puneet Ghanshani Riyasudeen Kuttbutheen Moorthy Annadurai Sakthivel N. Jin Jin David A. Robinson

#MicrosoftHackathon2022 #microsoftlife #hackathon #singapore"
