post,background
View my verified achievement from Shopee Singapore.,𝐂𝐨𝐦𝐩𝐮𝐭𝐞𝐫 𝐒𝐜𝐢𝐞𝐧𝐜𝐞 𝐔𝐧𝐝𝐞𝐫𝐠𝐫𝐚𝐝𝐮𝐚𝐭𝐞 @ SiT-DigiPen Singapore | 𝐀𝐬𝐩𝐢𝐫𝐢𝐧𝐠 Software Developer | 𝐏𝐚𝐬𝐬𝐢𝐨𝐧𝐚𝐭𝐞 Front/Back-end Developer | Seeking for internship 2023
View my verified achievement from Shopee Singapore.,Data Analyst intern at Huawei Technologies (Malaysia) Sdn. Bhd
View my verified achievement from Shopee Singapore.,"Information Systems Sophomore at Singapore Management University (Majoring in Business Analytics and Financial Technology) | Events Director, SMU Women's Connection"
View my verified achievement from Shopee Singapore.,Computer Science Sophomore at Singapore University of Technology and Design
View my verified achievement from Shopee Singapore.,Student at Singapore Polytechnic
View my verified achievement from Shopee Singapore.,</Programmer| Student Engineer>
View my verified achievement from Shopee Singapore.,Student in Electrical & Electronic Engineering
"Thanks Bernice Teo and Esther Teo for the opportunity to exhibit our algorithm skills - we might not be the winner in Shopee Code League 2022, but we are always a winner in our hearts, Learn and be Curious and take ownership in our learnings by deep diving into business problems and solving them with technical solutions because this is what we do!",Dell Cloud Native Developer Intern
View my verified achievement from Shopee Singapore.,Diploma in Big Data & Analytics at Temasek Polytechnic
View my verified achievement from Shopee Singapore.,Student at National University of Singapore
View my verified achievement from Shopee Singapore.,"Year 1 Student in NUS, currently pursuing a degree in Data Science and Analytics"
This was so tough but I'm glad my friend encouraged me to try it,"Manager, People Management (Operations) at Cadence Translate | Freelance Professional Jigsaw Puzzle and Lego Assembler"
My first hackathon. It definitely got me wracking my brains!,Student at DigiPen Institute of Technology Singapore
"Great experience, learnt when to divide and conquer (not just algorithms!), and when to unite and build. We'll be back stronger next year! Joey Lau Jae Ho Lee","Software Engineer Intern at Grab | Google DSC Co-lead | .Hack Technology Director | Proficient in Python, Java and JavaScript"
A challenging yet fun experience with Jeffrey Tay and Zayden Chan. Hope to participate in the next one!,Software Engineer Intern
Nice experience to participate in this kind of event although didn't manage to get into the top 100 teams (sadly ranked 152nd). Looking forward to joining next time!,Database Engineer at Shopee
This was fun! Let's do it again next year! Darren Sim and Kristy Koh,Application Development Intern at DBS Bank | Computer Science Undergraduate at Digipen
"Thanks Shopee for organizing the Shopee Code League 2022 where participants like myself get to experience solving algorithmic puzzles mimicking real world problems.    Being my first competition, it was indeed an eye-opening learning experience and I look forward to for more of such events.    I also would like to thank my two teammates (Lim Ryan & Lay Kiat) for participating in this event with me!",Y2 Software Engineer Student | SIT ICT (Software Engineering) | Graduating in 2025 (May)
"Have you signed up for Shopee Code League 2022?    Happening from 14 to 26 March, join our training workshops and put your coding skills to the test by solving algorithmic puzzles across two rounds of competition. You can also stand to win attractive prizes, and discover career opportunities with Shopee!    Follow our quick guide below, and register now at . Registration will close on 6 March, 11:59PM (Singapore time).",People Team at Shopee
Glad to have participated with my friends!,Unconventional Thinker and Visionary
"Excitement was in the challenge, and enjoyment was in the process. Looking forward to more of such experiences!",Sophomore at NUS Industrial & Systems Engineering
Another badge to the collection.,An individual who is trying to seek some life purpose
Definitely a fun experience with friends!,"Undergraduate at NTU, Mathematical Science"
View my verified achievement from Shopee Singapore.,Student at BINUS University
View my verified achievement from Shopee Singapore.,Discussion Squad at Dicoding Indonesia | Tech Enthusiast
View my verified achievement from Shopee Singapore.,Full Stack Engineer at ABSS
View my verified achievement from Shopee Singapore.,--
View my verified achievement from Shopee Singapore.,Software Engineer at Dana Indonesia
"Are you looking to hone your coding skills and solve real-world problems? Join our community of tech enthusiasts at Shopee Code League 2022, the coding competition of the year, with exclusive training workshops to upskill yourselves!    Swipe on to find out more about Shopee Code League 2022, happening from 14–26 March!    Register with a team of 3, and stand to win attractive prizes and career opportunities with Shopee. Sign up now at    Registration closes on 28 February, 12:00PM (Singapore time).",Talent Management & OD at Shopee
fun to join shope code league hehe,Student from binus university @malang
"Interested in putting your #coding skills to the test?    Form a team and compete with some of the region's coding champions at the Code League.    Solve algorithmic puzzles designed by Shopee Engineers to win cash prizes totalling over S$25,000 and a potential with Shopee.    Participate in the competition here:","55,589 followers"
View my verified achievement from Shopee Singapore.,Student at Bina Nusantara University
View my verified achievement from Shopee Singapore.,Associate Software Engineer at Semangat Digital Bangsa
View my verified achievement from Shopee Singapore.,Frontend Engineer at Springkraf
View my verified achievement from Shopee Singapore.,GDG George Town Core Team Member | USM Computer Science (Intelligent System) Penultimate Year Student | Aspired to study in Japan
"Shopee Code League is back, and it’s time to put your coding skills to the test!    From 14–26 March, form a team of 3 members and challenge yourself to solve algorithmic puzzles, designed by Shopee Engineers, across two rounds of competition.    Develop and grow your coding abilities with our free online training workshops, and challenge yourself to be the best of the best for the chance to walk away with cash prizes totaling over SGD25,000 and career opportunities with Shopee!    Grab your coding buddies, and join us for the coding event of the year at",825 followers
"Shopee Code League is back, and it’s time to put your coding skills to the test!    From 14–26 March, form a team of 3 members and challenge yourself to solve algorithmic puzzles, designed by Shopee Engineers, across two rounds of competition.     Develop and grow your coding abilities with our free online training workshops, and challenge yourself to be the best of the best for the chance to walk away with cash prizes totalling over SGD25,000 and career opportunities with Shopee!    Grab your coding buddies, and join us for the coding event of the year at   ",265 followers
"📣 Check out what our industry partner Shopee has for you! Shopee Code League is back, and it’s time to put your coding skills to the test!    From 14–26 March, form a team of 3 members and challenge yourself to solve algorithmic puzzles, designed by Shopee Engineers, across two rounds of competition.    Develop and grow your coding abilities with our free online training workshops, and challenge yourself to be the best of the best for the chance to walk away with cash prizes totalling over SGD25,000 and career opportunities with Shopee!    Grab your coding buddies, and join the coding event of the year at","2,543 followers"
"done! I am very excited to join the Shopee Code League. I also thank my team ""WIMIX"" for the cooperation and the fuel that has been given.",Mahasiswa di Institut Teknologi Del
It was such an experience to code with Shopee. We shall meet again in Shopee Code League 2023!,Business Intelligence Intern at Tune Protect Group. Big Data Management and Application Year 4 Student in Harbin Institute of Technology.
"A few weeks back, my friends and I joined the Shopee Code League 2022 competition. It was a fun experience as it was our first time joining the event. I hope we get to use the knowledge and experience gained from this event for our final year project this semester.",Data Acquisition & Visualization (DA&V) Software Developer at Exxonmobil
"View my verified achievement from Shopee Singapore.    I participate this league for expand my experience, wish me luck for next time will get into top 100 😁",Everything gonna be worst before it get better! <JS MERN/>
View my verified achievement from Shopee Singapore.,Google Certified TensorFlow Developer | Google DSC Lead 2022-2023 Chapter UNIKOM | Bangkit Graduate 2022 | Lifetime Learner
View my verified achievement from Shopee Singapore.,Undergraduate Management Information System Student at President University. Vice Chairperson PUMA Computing 2022.
View my verified achievement from Shopee Singapore.,Final Year Software Engineering Student | Bachelor of Computer Science | Aspiring Software Engineer | IT | Software Development
Got my verified achievement from Shopee Singapore 😆,USM Student | Bachelor of Computer Science
View my verified achievement from Shopee Singapore.,"Front-end Engineer (JavaScript, Vue, React)"
"Shopee Code League is back, and it’s time to put your coding skills to the test!    From 14–26 March, form a team of 3 members and challenge yourself to solve algorithmic puzzles, designed by Shopee Engineers, across two rounds of competition.     Develop and grow your coding abilities with our free online training workshops, and challenge yourself to be the best of the best for the chance to walk away with cash prizes totalling over SGD25,000 and career opportunities with !    Grab your coding buddies, and join us for the coding event of the year at ","5,143 followers"
View my verified achievement from Shopee Singapore.,3rd Year Computer Science student majoring in Data Science @ Monash University | Maybank Student Ambassador 2022 | GRADUAN Ambassador 2022 | Microsoft Learn Student Ambassador
View my verified achievement from Shopee Singapore.,ML Developer
"Few a weeks ago I've been joined the CP Competition ""Shopee Code League 2022"" with my team, We've Solved 1/5 problems I Think it's not bad, Thanks to my Team Hermawan Sentyaki Sarjito and Muhammad Aris Septanugroho. I hope we can compete again later :) View my verified achievement from Shopee Singapore.",F/LOSS Enthusiast | CyberSecurity | DevSecOps
"Shopee Code League is back, and it’s time to put your coding skills to the test!    From 14–26 March, form a team of 3 members and challenge yourself to solve algorithmic puzzles, designed by Shopee Engineers, across two rounds of competition.     Develop and grow your coding abilities with our free online training workshops, and challenge yourself to be the best of the best for the chance to walk away with cash prizes totalling over SGD25,000 and career opportunities with Shopee!    Grab your coding buddies, and join us for the coding event of the year at   ",320 followers
"💻 Put your coding skills to the test at the Shopee Code League and stand a chance to walk away with cash prizes over SG$25,000 💵 and career opportunities with Shopee!    Here's what you can expect from 14-26 March:    👥 In a group of three, solve algorithmic puzzles, designed by Shopee Engineers, across two rounds of competition.  🧠 Develop and grow your coding abilities with free online training workshops.  🏆 Challenge yourself to be the best of the best!    Everyone, from undergraduates, postgraduates to professionals from across the globe are welcome to join! For more info 👉:    SUSS is a partner of the Shopee Code League.","44,381 followers"
"Shopee Code League is back, and it’s time to put your coding skills to the test!     From 14–26 March, form a team of 3 members and challenge yourself to solve algorithmic puzzles, designed by Shopee Engineers, across two rounds of competition.     Develop and grow your coding abilities with our free online training workshops, and challenge yourself to be the best of the best for the chance to walk away with cash prizes totalling over SGD25,000 and career opportunities with Shopee!     Grab your coding buddies, and join us for the coding event of the year at   ",752 followers
View my verified achievement from Shopee Singapore.,Graduate CS Student at BINUS
View my verified achievement from Shopee Singapore.,Asset Integrity Engineer at Chevron. Data Science/Digital Transformation
View my verified achievement from Shopee Singapore.,Computer Science Student at BINUS University
View my verified achievement from Shopee Singapore.,Informatics Student at Polinema | Lead of Workshop dan Riset Informatika (WRI) | Lead of KRSTI Polinema Robotics Team (ROTAMA)
View my verified achievement from Shopee Singapore.,-
View my verified achievement from Shopee Singapore.,Wannabe Full-Stack Developer
View my verified achievement from Shopee Singapore.,Student of Binus University
View my verified achievement from Shopee Singapore.,Second year Degree Data Analyst Student
View my verified achievement from Shopee Singapore.,Learner
"Last month, me and my friends, Sopon Kongnithigarn and Siraphop Thaisangsa-nga, participated in Shopee Code League.    We had a great experience and really do look forward to more challenges!","A senior student in Information and Communication Engineering, Chulalongkorn University"
"View my verified achievement from Shopee Singapore in Shopee Code League 2022 as an Participant. Eventhough we didn't lucky enough to win this competition, but it's still a great opportunity to join this event.",Laboratory Assistant at BINUS University
It was a great experience to be a part of the Shopee Code League. I learned how to solve problems together in a team and improved my DSA skills.,Mobile Developer at Google Developer Student Clubs - Universitas Sriwijaya
View my verified achievement from Shopee Singapore.,Senior Software Engineer at SEEK
View my verified achievement from Shopee Singapore.,Student at IT DEL
Thank Shopee Singapore for an interesting competition!,Computer Science Student at VinUniversity
View my verified achievement from Shopee Singapore.,CyberSecurity Professional / Dev
"Thank you, I had a great experience. View my verified achievement from Shopee Singapore.",Techno Enthusiast
View my verified achievement from Shopee Singapore.,Full Stack Web Developer | Front-End and Back-End Enthusiast | Undergraduate Bachelor of Science Student Majoring in Information System at President University
View my verified achievement from Shopee Singapore.,Programmer
View my verified achievement from Shopee Singapore.,Software Engineer | Student at President University
"Enrolled myself again in Shopee Code League after 2 years, and found myself improving eventually in terms of problem comprehension and proposal of solution! However, more efforts should be put into sharpening my coding skills for more language. Great experience!",--
"This is a very interesting competition that we participated in from Shopee Code League which was held on March 14-26. Solving problems and exploring new types of algorithms with existing case studies, can look forward to workshops covering topics such as programming languages and software engineering.    Thank you and also your teammates for this exciting experience.",IT Programmer | UI/UX Designer | Graduate of Software Engineering
View my verified achievement from Shopee Singapore.,Software Engineering student
View my verified achievement from Shopee Singapore.,Analyst Programmer at Geekseat
View my verified achievement from Shopee Singapore.,IT Infrastructure Operation at PT Pertamina Hulu Mahakam
View my verified achievement from Shopee Singapore.,Student at Universitas Diponegoro
View my verified achievement from Shopee Singapore.,Student in Bachelors of Computer Science at Swinburne University of Technology
View my verified achievement from Shopee Singapore.,Student at Universiti Teknologi MARA
View my verified achievement from Shopee Singapore.,Data Enthusiast
View my verified achievement from Shopee Singapore.,"B.C.S. (Hons), UOW Malaysia KDUUC"
View my verified achievement from Shopee Singapore.,Student at Asia Pacific University of Technology and Innovation (APU / APIIT)
View my verified achievement from Shopee Singapore.,Student at Institut Teknologi Del
View my verified achievement from Shopee Singapore.,Student at HCMUS
View my verified achievement from Shopee Singapore.,Data Analytics Student
View my verified achievement from Shopee Singapore.,Chairperson of TARUC's Computer Science Society • Final year Software Systems Development student • Assistant Programme Representative
View my verified achievement from Shopee Singapore.,Siswa di Institut Teknologi Del
View my verified achievement from Shopee Singapore.,IT
View my verified achievement from Shopee Singapore.,Student at Del Institute of Technology
View my verified achievement from Shopee Singapore.,Web Developer | Network Administrator
View my verified achievement from Shopee Singapore.,fresh graduated of computer science
View my verified achievement from Shopee Singapore.,IT Undergrad at TNI
"Shopee Coding League 2022, 19 March 2022. It was a challenging, eye-opening experience.",Computer Science Student | Second Year
View my verified achievement from Shopee Singapore from participating in the Shopee coding competetion.,learning DSA for competetive programming || GATE 22-23 Aspirant || Student at BPPIMT Kolkata 19-23 || Undergrad
View my verified achievement from Shopee Singapore.,Student at BINUS University
The verified achievement from Shopee Singapore.,Internship at CGH (Pi) - Data Science & Innovation at Thammasat University
View my verified achievement from Shopee Singapore.,Student at De La Salle University
View my verified achievement from Shopee Singapore.,Computer Science Undergraduate Student at Binus University
"Finally I can share this badge together with a solution writeup article that I had written for almost 4-weeks, https://lnkd.in/gcEGaVz7.",Software Engineer at Google | ex-Grab
View my verified achievement from Shopee Singapore.,Head of Media Group at Telkom University Esports
Had a head banging yet enjoyable experience. Glad to be able to participate in an algorithm competition with you two Jonathan Soong Yu Jun Lim,Business & Integration Arch Specialist at Accenture
View my verified achievement from Shopee Singapore.,dangerous in silence
View my verified achievement from Shopee Singapore.,R&D Software Engineer | First Class Honor | Deep Learning & Computer Vision Enthusiast | Former Intern at Intel Corporation and Motorola Solutions
View my verified achievement from Shopee Singapore.,Aspiring Software Engineer/Developer | Final Year Computer Science Undergraduate | Industry Training @ Hitachi eBworx Sdn. Bhd.
View my verified achievement from Shopee Singapore.,Study at VNUHCM-University Of Science
View my verified achievement from Shopee Singapore.,--
View my verified achievement from Shopee Singapore.,Software Engineering Consultant in Fusionex Group
View my verified achievement from Shopee Singapore.,Data Informatics Student at Asia Pacific University of Technology and Innovation (APU / APIIT)
View my verified achievement from Shopee Singapore.,Freshman at University of Wisconsin - Madison
Thank You Shopee Singapore for an amazing chance to compete!.,Computer Science Undergraduate Student at Universitas Sumatera Utara | Laboratory Assistant for IKLC
View my verified achievement from Shopee Singapore.,Student at Politeknik Elektronika Negeri Surabaya
View my verified achievement from Shopee Singapore.,Data Enthusiast | Pythonista | Electrical Engineering
View my verified achievement from Shopee Singapore.,Software Engineer student at Universitas Dian Nuswantoro
View my verified achievement from Shopee Singapore.,Backend Developer (NodeJS/Java) | Undergraduated CSE Student in HCMUT
View my verified achievement from Shopee Singapore.,Final Year Computer Science Student at University of Nottingham Malaysia (First Class/Dean’s List/School Representative)
View my verified achievement from Shopee Singapore.,Student at Monash University Malaysia
View my verified achievement from Shopee Singapore.,Information System Student of Bunda Mulia University
View my verified achievement from Shopee Singapore.,Siswa di Universitas Teknologi Yogyakarta
View my verified achievement from Shopee Singapore.,Computer Science Undergraduate Student at Beijing Institute of Technology
View my verified achievement from Shopee Singapore.,Software Engineer II
View my verified achievement from Shopee Singapore.,"Software and App Development (Android) with a proficiency in Java, Python, PHP, Node.js, and SQL."
View my verified achievement from Shopee Singapore.,Student at Mahidol University
View my verified achievement from Shopee Singapore.,"23' Innovation Design Engineering Student, interested in Product Manager / UX positions!"
View my verified achievement from Shopee Singapore.,Business Systems Associate at JG Summit Olefins Corporation
"Shopee Code League is back, and it’s time to put your coding skills to the test!     From 14–26 March, form a team of 3 members and challenge yourself to solve algorithmic puzzles, designed by Shopee Engineers, across two rounds of competition. Develop and grow your coding abilities with our free online training workshops, and challenge yourself to be the best of the best for the chance to walk away with cash prizes totalling over SGD25,000 and career opportunities with Shopee!    Join our trainers from Rocket Academy as we host workshops on introductory algorithms, graph algorithms, and dynamic programming.     Grab your coding buddies, and join us for the coding event of the year at   ","1,484 followers"
"Thanks to Shopee Singapore for the opportunity, keep this up teams! Muhammad Rizki Syafapri fahreza Pratama",Informatics Engineering Student at Universitas Islam Negeri Sultan Syarif Kasim Riau | GDSC Lead '22
"""You cannot create experience. You must undergo it.""  Never stop trying. No matter how it ends, it was an experience of creating your greater self.    Thank you Shopee for the opportunity 😀.  Great shoutout to my teammates: Team Valkyrie (, ) ✨👩‍💻🎉",Analytics and Insights (CX intern) at foodpanda
View my verified achievement from Shopee Singapore.,"Data Analyst intern at Blibli.com ,7th semester in Petra Christian University"
View my verified achievement from Shopee Singapore.,Student at Santa Monica College
View my verified achievement from Shopee Singapore.,APCS21 @ VNU-HCM University of Science
View my verified achievement from Shopee Singapore.,Student at University of Nottingham Malaysia
View my verified achievement from Shopee Singapore.,Student at Tianjin University studying Computer Science
View my verified achievement from Shopee Singapore.,--
View my verified achievement from Shopee Singapore.,--
View my verified achievement from Shopee Singapore.,Student at Institut Teknologi Del
雖然今年比得比較好，但還是很可惜沒有進前100名，明年再接再厲!,Machine Learning Engineer at Pegatron Corporation
Thank you for the experience and a big thanks to my teammates. Congratulations!  Nur Atiqah Mohd Fua'ad Hamidah Tan,Software Engineer at Finexus Group
"During the semester break, I took up the challenge to join both Shopee Code League and Google Developer Solution Challenge. It wasn't easy, as I spent countless nights grinding and working on the challenges, but I'm glad I did so because it exposed me to such much that I did not know, from data structures and algorithms to mobile app development.     I am also thankful to my team members (, , , , ) for taking up the challenge alongside me and going through it together. Thanks to yall, it made the journey way more fun and enjoyable.    Looking forward to joining more opportunities to join hackathons and competitions in the future as I quite enjoy the learning experience from them.    2022 Solution Challenge:      Shopee Code League 2022:",Vice President of Sunway Tech Club || AWS Student Ambassador || Google DSC Sunway University Core Team || Final Year Data Analytics Student
"Shopee is doing our part in creating more platforms for more aspiring talent to take part in the digital economy.     We recently concluded our third edition of Shopee Code League, helping budding tech talent in Thailand upskill themselves and learn more about coding in the e-commerce space.     This week, we are thrilled to launch the Shopee Ultimate Case Challenge, which is our annual business case competition for students to learn and demonstrate problem-solving skills for real-world business challenges. Shopee mentors will also guide participants along the way, enabling them to create innovative solutions, unleashing their potential.     If you’re looking for an opportunity to learn more about the e-commerce industry and put your business acumen to the test, sign up now!",Shopee Marketing at Shopee
"As technology continues to transform how we live, work and shop, Shopee is excited to look back at how e-commerce has created a positive impact on local communities and talent. In the past year, we reached out to more users to bring smiles, and benefit local underserved communities through our platform.    By making buying and selling online easier for everyone, consumers can get what they need,  and sellers can improve their livelihoods.    Shopee also equipped local talent, entrepreneurs and the community with new skills to succeed in the digital economy of today and tomorrow. We stepped up on various efforts such as our annual coding competition, Shopee Code League, and our internal Shopee Academy initiatives to upskill tech talent and enthusiasts.    Together, we look forward to forging stronger connections with our communities, building a more vibrant and inclusive digital economy, as well as creating impact, with all of you.","1,697,050 followers"
"Shopee Code League is back, and it’s time to put your coding skills to the test!    From 14–26 March, form a team of 3 members and challenge yourself to solve algorithmic puzzles, designed by Shopee Engineers, across two rounds of competition.    Develop and grow your coding abilities with our free online training workshops, and challenge yourself to be the best of the best for the chance to walk away with cash prizes totalling over SGD25,000 and career opportunities with Shopee!    Grab your coding buddies, and join us for the coding event of the year at ",Talent Management & OD at Shopee
"Have you signed up for Shopee Code League 2022?    Don’t miss out on your chance to win attractive prizes, and discover career opportunities with Shopee.    Follow the quick guide, and sign up now at .    Registration closes 28 February, 12:00PM (Singapore Time).","55,589 followers"
"[SHOPEE CODE LEAGUE 2022]    Shopee Code League telah kembali dan ini waktunya untuk menguji kemampuan kodingmu!    Tahun ini, Shopee Code League akan diselenggarakan pada tanggal 14 hingga 26 Maret. Bentuklah tim dengan 3 anggota dan tantang dirimu untuk memecahkan permasalahan algoritma yang dirancang oleh tim Engineer Shopee pada dua babak pertandingan koding.    Kembangkan kemampuan kodingmu dengan kelas pelatihan online gratis dan bertandinglah untuk menjadi yang terbaik. Menangkan hadiah uang tunai dengan total lebih dari SGD25.000 dan kesempatan berkarier di Shopee!    Ajak teman kodingmu dan daftarkan dirimu di Shopee Code League melalui        ——————————————  Diteruskan Oleh:  Biro Media dan Branding  Himpunan Mahasiswa Profesi ⁣  Gamma Sigma Beta⁣  ⁣  ⁣    ⁣  Line : @gsbipb⁣  Instagram : @gsb_ipb⁣  Twitter : @gsb_ipb⁣  LinkedIn :  Website :",224 followers
It feels so great to share that I've received goodies from Shopee Code league 2022 !! #shopee  Thank you Shopee Singapore for giving this opportunity.,Associate Game Developer at Ingenuity Gaming
"Have you signed up for Shopee Code League 2022?    Happening from 14 to 26 March, join our training workshops and put your coding skills to the test by solving algorithmic puzzles across two rounds of competition. Don’t miss out on your chance to win attractive prizes, and discover career opportunities with Shopee!    Follow our quick guide below, and sign up now at .  Registration closes on 28 February, 12:00PM (Singapore time).","2,014 followers"
"97/100  #100daysofcodechallenge  Approaching to final 3 days of my 100days of code challenge. I am currently creating a fruit collecting game, Shopee Tanam a previous question of Shopee Code League competition.    I will be streaming form time to time:",Computer Engineering Student @ UPM | Crew @ JomHack | JPA PIDN Holder | Investment Club Multimedia EXCO @ UPM | GDSC UPM Core Team Member | Engineering & Web 3.0 Enthusiast
"Last month, we welcomed over 9,300 coding enthusiasts from more than 20 cities across the globe in our largest online coding competition — Shopee Code League 2022.    Our participants took up the challenge to solve algorithmic puzzles, upskilled themselves through our training workshops, and developed their abilities as future-ready tech talents.     We’d also like to give a big thanks to our Guests-of-Honour, and the 220 partners from across the region that have joined us in making this event a success for everyone.     Check out our video below to relive the highlights of the Shopee Code League 2022! ","1,697,050 followers"
"[SHOPEE CODE LEAGUE 2022]    Hello, Statisticians!  Apakah kamu sudah mendaftarkan diri di Shopee Code League 2022?    Diselenggarakan dari 14 sampai 16 Maret, kamu bisa mengikuti kelas pelatihan kami dan tantang kemampuan kodingmu dengan memecahkan masalah algoritma dalam 2 babak kompetisi. Jangan lewatkan kesempatan untuk memenangkan hadiah menarik dan kesempatan berkarier di Shopee!    Ikuti instruksi singkat di bawah ini dan daftarkan dirimu sekarang di . Pendaftaran akan ditutup pada tanggal 28 Februari, 11:00 WIB.        ——————————————  Diteruskan oleh:  Biro Media dan Branding  Himpunan Mahasiswa Profesi ⁣  Gamma Sigma Beta⁣  ⁣  ⁣    ⁣  Line : @gsbipb⁣  Instagram : @gsb_ipb⁣  Twitter : @gsb_ipb⁣  LinkedIn :  Website :",224 followers
Claimed my certificate from Shopee Code League 2022. I would like to thank Balram Singh for guiding me and motivating me.,Associate Game Developer at Ingenuity Gaming
"Here’s a big thank you to everyone who contributed to the success of Shopee Code League 2022! In two weeks, over 9,300 coding enthusiasts took up the challenge to solve algorithmic puzzles, and participate in curated training workshops to upskill their technical capabilities.     We welcomed participants from more than 20 different locations across the globe, to learn and compete with one another. This would not have been possible without the strong support of our 220 partners. To our participants and winners, we hope that you had a great time developing your skill sets and challenging yourself in the competition.      At Shopee, we believe in the power of technology and the value of continuous learning. We hope to provide even more career and learning opportunities to our tech talents around the world! Look out for our upcoming events and competitions at","1,697,050 followers"
#flutter #firebase #mobile #android #IOS #app #book #quotes #share #github #programming #programmers #programmatic #programmingmemes                            ,Tekinapp
"In our efforts to upskill sellers and future tech talent in the digital economy, we must remember that adapting to change starts from ourselves.    When we embrace change, we can serve others better and contribute more effectively to the future.","Group President, Sea"
Wrote a piece on technical interview tips to document my learnings. Hope this article would be helpful to anyone applying for a graduate role in software engineering (: #softwareengineering #interview,Software Engineer at ShopBack
