post,background
"Georgetown University School of Medicine students Kira Chandran (M‘23), Pei-Ying Kobres (M‘23), Chloe Wang (M‘23) and Ruth Watson (M‘23) were awarded the grand prize at the 2022 Georgetown Public Policy Challenge final hosted by the .    Their proposal, “Within Reach: Ending Opioid-Related Deaths in the District,” was recognized as the most outstanding innovative policy solution to help address a challenge in the Washington, D.C. community.","252,901 followers"
"I’m proud to announce the launch of Casa Collection Realty, a luxury brand located in the heart of Miami-Dade, serving buyers and sellers in the high-end property market.    Throughout my career, clients have come to know me for my passion for my work and my goal of making their buying or selling transactions seamless. No detail is too big or small, and no service is too great. Whatever their purpose or the challenges that might stand in the way, I make things happen. My skill in facilitating progress, results, and joy has enabled me to build universal client trust and a referral base throughout Miami-Dade.    I’ve taken Casa Collection Realty to the next level by partnering with Side, a real estate technology brokerage with a mission to help top-performing agents develop, operate, and grow their businesses. Side was just named one of the “10 most innovative urban development companies to watch in 2022” by Fast Company, and it also functions as my broker of record. Side’s state-of-the-art marketing, technology, administrative, and legal services are designed to access on the go. This feature is a lifesaver for someone who conducts much of his business on the phone. I also appreciate that Side’s full support allows me to create my vision for Casa Collection Realty.    I’m thrilled to embark on this new adventure and share the latest news with you all.    Happy to be of service,  Marco Tiné, CEO",42 followers
"As I reflect on this year, one word comes to mind: impact. Impact of science on global health, impact of collaboration in bringing new innovations to market and impact of my colleagues in elevating the Merck Life Science business to even greater heights.    Since I joined Merck in April of this year, I’ve been seeing this impact and meeting the people who make it happen firsthand. To share just a few examples, we:     1. Expanded manufacturing operations around the world, including expansion announcements and openings in the US, France, Ireland, China and Germany to meet growing customer demand. That included our new CDMO facility for viral vectors in Carlsbad, CA, US and a new single-use assembly production unit in Molsheim, France – both critical to support the development and manufacture of lifesaving therapies.     2. Launched more than 15,000 new products, including our new synthetic cholesterol product, a key component of mRNA-based vaccines and therapeutics, nine months ahead of schedule.     3. Announced that 100% of our US electricity consumption will be offset via Renewable Energy Certificates by the end of 2022, helping make progress towards our goal of being climate neutral by 2040.     4. Received industry recognitions for our products, services and supplier role, including being awarded as a top manufacturer in the US for our teams’ critical contributions in response to the global pandemic.     5. Launched our new e-commerce experience, helping connect millions of users every month to products, resources and support.     6. Announced our bold strategy evolution, fueling our ability to advance scientific progress for customers and patients around the world.     7. And many, many more!     None of these accomplishments would have been possible without our dedicated colleagues around the world. During another challenging year, our Life Science team continued to step up in support of our mission and outperform when it was most important. Together, we’re impacting life and health with science.     To the entire team – thank you for a great year. We should all be proud of the impact we created in 2021 and I’m confident it will be even stronger in 2022!",Member of the Executive Board and CEO of Life Science at Merck Group
"⚠️ The patient didn’t receive any oxygen therapy; the concentrator alarm encouraged calling the technician, so the nurse didn’t try to figure out that the tube was pinched.    ⚠️ The patient didn’t receive any oxygen therapy; the biomedical engineer couldn’t fix the concentrator because they didn’t have an extra long screwdriver to open the outer plastic cabinet.    ⚠️ The patient didn’t receive any oxygen therapy; the USD$1 plastic humidifier bottle cracked, so the nurses didn’t use the USD$1000 working oxygen concentrator.    These are just some of the stories we heard and observed when interviewing nurses, biomedical engineers, and technicians in Kenya and Nigeria as part of our human-centered design evaluation of oxygen concentrators.    Virtual launch event: Guide - Design for oxygen concentrator usability in under-resourced healthcare settings    🖊 Sign up to join us Friday, July 29, 2022 9:00a - 11:00a eastern       Oxygen concentrators were originally designed for use in homes in high-resource environments. They have found a new calling providing oxygen therapy in healthcare facilities in low and middle-income countries.     The guide includes 12 opportunities & over 100 ideas to improve future designs of:    ❇️Oxygen concentrators  ❇️Flow Splitters  ❇️Bubble Humidifier Bottles    We hope to inspire:  😀 Executives, product managers, and engineers from existing manufacturers and new organizations to bring fit-for-purpose oxygen concentrators and their accessories to market  😀 Funders and financiers interested in assisting organizations to produce more fit-for-purpose technology  😀 Innovators providing training and oxygen as a service who would like to learn more about typical concentrator system usability challenges in healthcare settings in LMICs    Learn more about how simple changes can make a lifesaving difference. Please share broadly!            Oxygen for Life Initiative    Oxygen CoLab team at    Funded by the UK    🖊 Sign up to join us Friday, July 29, 2022 9:00a - 11:00a eastern ",Human-Centered Design for Better Health Outcomes
"The first goal of the 2022-2026 BARDA Strategic Plan is #preparedness. BARDA has successfully partnered with the private sector to overcome economic and scientific challenges to develop lifesaving (MCMs) so they are available when needed during emergencies. To help sustain the availability of these MCMs for future use, we also support their regulatory approval or licensure for other indications.    Over the next five years, we will continue to support the advanced development and procurement of MCMs through investments in technologies that have the potential to make safe and effective MCMs more accessible. This will include:    ⚠️ Developing MCMs that address known threats and can also be applied against new threats, using rapidly adaptable platforms and technologies,  💡 Spurring innovation in MCM development,  🚑 Understanding and addressing needs of end users who administer MCMs, and  🏙️ Developing MCMs to meet the needs of the entire population.    Explore the other goals and read more about the strategic plan for 2022-2026:","13,764 followers"
"Results are out from a usability study of oxygen concentrators in low resource settings. Learn what it takes to build #medicaldevices for #globalhealth users. I'm proud to have been part of this excellent work!    ⚠️ The patient didn’t receive any oxygen therapy; the concentrator alarm encouraged calling the technician, so the nurse didn’t try to figure out that the tube was pinched.    ⚠️ The patient didn’t receive any oxygen therapy; the biomedical engineer couldn’t fix the concentrator because they didn’t have an extra long screwdriver to open the outer plastic cabinet.    ⚠️ The patient didn’t receive any oxygen therapy; the USD$1 plastic humidifier bottle cracked, so the nurses didn’t use the USD$1000 working oxygen concentrator.    These are just some of the stories we heard and observed when interviewing nurses, biomedical engineers, and technicians in Kenya and Nigeria as part of our human-centered design evaluation of oxygen concentrators.    Virtual launch event: Guide - Design for oxygen concentrator usability in under-resourced healthcare settings    🖊 Sign up to join us Friday, July 29, 2022 9:00a - 11:00a eastern       Oxygen concentrators were originally designed for use in homes in high-resource environments. They have found a new calling providing oxygen therapy in healthcare facilities in low and middle-income countries.     The guide includes 12 opportunities & over 100 ideas to improve future designs of:    ❇️Oxygen concentrators  ❇️Flow Splitters  ❇️Bubble Humidifier Bottles    We hope to inspire:  😀 Executives, product managers, and engineers from existing manufacturers and new organizations to bring fit-for-purpose oxygen concentrators and their accessories to market  😀 Funders and financiers interested in assisting organizations to produce more fit-for-purpose technology  😀 Innovators providing training and oxygen as a service who would like to learn more about typical concentrator system usability challenges in healthcare settings in LMICs    Learn more about how simple changes can make a lifesaving difference. Please share broadly!                                Great work at with partners , Oxygen for Life Nigeria, , the , and . With funding from the UK .    🖊 Sign up to join us Friday, July 29, 2022 9:00a - 11:00a eastern ",Innovation Specialist at UNICEF
"Welcome to a new series of “My Journey at SalaryBox” where we talk with the team about how they got to SalaryBox, and what their stories have been.    Today we spoke with , a Software Engineer at our Gurgaon office, about what makes his work challenging and exciting.    📍What do you do at SalaryBox?  I’m a Software developer who joined the team in January 2022. I make sure that the web app and iOS interface used for millions of SalaryBox customers is up and running. We've redesigned the entire interface over the last couple of months, and also moved from Flutter to . This ensured that our customers have a great experience while using the product. I can see things improving as a result of my work, and that’s really satisfying.      📍How did you land in your current role?  I was a student of in Dehradun, and SalaryBox had come for campus placements. Funnily enough, I did not get selected after the final round. I was still very keen to join and reached out to the founders directly, to apply for an internship. The next thing I know that I was working with them a week later. Seeing my work, my internship was converted into a full-time role.   By joining SalaryBox I realized how much I value constant innovation and building new systems and tools. One of the coolest things about building new things is that it requires you to understand the vast scope of work, read and upskill yourself every day. It’s challenging, yet exciting work.    📍What’s a typical workday like for you?   Most of my day involves designing and building out the SalaryBox website app, so a lot of writing code and reading technical documentation ( and are lifesavers! ). I’d say I spend 15% of my time syncing with colleagues on updates for ongoing projects. I’m fortunate to have a variety of projects to work on — this helps me feel constantly challenged and motivated to work. Each morning we get together for an hour or so to discuss our weekly sprint goals. This allows us to make sure we’re on track as a team and to plan the rest of the week.  I feel like I have a great balance between collaborating and working independently.     📍What inspires you to come in every day?   It would be unfair not to mention all the amazing people I work with on a daily basis — my colleagues are a crucial part of the work I do. The support system here is incredible, and they guide me on how the current app is structured, and how new things can be added.  I've interacted with a lot of my friends, who are currently working at MNCs and other larger organizations. Sadly, they are yet to be allocated tasks and given core responsibilities. I, on the other hand, have been entrusted with multiple high-impact development items, and the ownership of my work really motivates me. Working at a startup has been a fantastic learning curve, and I've upskilled myself in multiple ways - that includes playing table tennis!","9,524 followers"
"April is the month for Health Information Professionals 🤗    Health Information Professionals are positioned at the intersection of healthcare, technology, and business, professionals in the health information space possess a uniquely comprehensive view of a resource critical to meaningful health innovation    In medical coding, clinical documentation integrity, data analytics, management, privacy, security, and beyond, we empower our partners in healthcare to provide high-quality, lifesaving care    Health Information Professionals (HIP) Week is dedicated to recognizing and honouring health information professionals in Nigeria    HIP Week 2022 is the perfect time to acknowledge individuals or teams who have responded with grace and achieved triumphs amidst the tumultuous changes and unprecedented challenges facing health information professionals during the pandemic    HIPWeek'22_NG aims at celebrating Health Information Professionals who ensure health stories remain accurate, accessible and protected through a social media engagement to tell the world of the beautiful stories of passionate, selfless and committed service delivery to patients/clients in a year of uncertainties    HIPWeek'22_NG is a week of reflection on our gains and achievements over the years and leverage on the emerging trends due to the COVID-19 virus in preparedness for future pandemics    HIPWeek'22_NG will recognise professionals for awards across four categories:    Spirit, recognising leadership or contribution to advancing a team during the fight against COVID and during the recovery phase    Impact, recognising significant and tangible impacts achieved during the last 20 months, specifically for patient/citizen or staff outcomes and experiences    1. Leadership, recognising where someone has led a team, department or organisation through digital transformation    2. Champion, recognising individuals who have gone above and beyond in their role    3. Dedication to the profession, recognising an individual's commitment and contribution to building the profession    4. Aspiring talent, recognising those at the start of their digital and data careers    Do you know anyone worthy of commendation to be considered for recognition 🏅⁉️🤔    The nomination will open soon, stay connected ‼️💫",Clinical Coder || Public Health Informatician || Health Information Management Officer
"Meet our Speaker - Laurene Redding ( Global Head, Strategic Pricing - BeiGene)    Laurene is passionate about healthcare and has vast expertise across all aspects of the health sector. She has a unique breadth of experience in the Canadian hospital system, at the Ministry of Health, with private insurance, and in the pharmaceutical industry. Laurene is a hands-on leader known to develop solutions to challenging problems and address unique opportunities.    joined , a global biopharmaceutical company, less than 2 years ago as the Canadian Head of Value, Access, and Policy, but soon afterward, evolved into the role of Global Head of Strategic Pricing on an interim basis. She has recently assumed the responsibility as the Global Head of Strategic Pricing for BeiGene, (ex-China).    Laurene received both her undergraduate degree in biology and pharmacology and a master’s degree in business administration from in Hamilton, Ontario. On a personal level, she is extensively involved in the board and community work. Laurene served for many years as Vice Chair on a private-school board and as Director-at-large, for the Canadian Gastrointestinal Society, the Milton Skating Club, and the Canadian Association for Population Therapeutics. Laurene is also deeply involved with the Canadian Red Cross, the Lifesaving Society, and the Heart and Stroke Foundation.      Date: August 16th, 2022  Time: 5:30-7:00 PM EST  Price: Members: $10; Non-Members: $15  Registration Link:    Sponsored by:",967 followers
"Blue Ocean Innovation 2022 🌊⚓️    The United Nations’ Sustainable Development Goal 14 is to “conserve and sustainably use the oceans, seas and marine resources.”    To achieve this, it is important to support the blue economy encouraging sustainable start-up companies, innovators and innovations that can scale to solve the ocean’s grand challenges.     1️⃣) Plant-based fish and seafood products🐟    Plant-based innovation is one of the biggest and most exciting growth areas in the food industry today, and while meat substitutes are the fastest growing sub-category in this market (an increase of 152 percent in 2019), fish and shellfish alternatives are now poised for dynamic growth.    Investment in alternative fish and seafood startups has been brisk, with new companies and products starting to expand the market.    2️⃣) Reversing the plastics crisis🧴    Plastics are useful. They're used to help make lifesaving medical supplies, lightweight, fuel-efficient car parts, and insulation for our homes. But nearly half of all plastic produced goes towards single-use items such as bags, straws, utensils and takeout containers.     There's a number of companies trying to develop cost-efficient and eco-friendly substitutes, from mushroom packaging to advanced fibers and plastic-free online shopping.     3️⃣) Ocean-based renewable energies⚡️    Rapid transformation of our energy systems is required if we are to achieve the goals of the Paris Agreement and limit the global average temperature rise. In addition to expanding land-based renewable energy, the ocean offers significant potential for supporting this transition.    However, new technologies must be implemented in a sustainable way in order to avoid unintended consequences that could undermine other aspects of ocean health.    To read more of our latest Future Thinking click on the link below 👇  ➡️","3,581 followers"
"Today, more than 20 months since India and South Africa first proposed a landmark intellectual property (IP) Waiver for #COVID19 medical tools at the World Trade Organization (WTO), governments have reached a decision. Dr. Christos Christou, International President of MSF shares his thoughts:    “We are disappointed with the inadequate outcome on waiving intellectual property for COVID-19 medical tools that resulted from more than 20 months of deliberations.    We acknowledge that a few changes were made to the agreement that mitigated some of the most worrisome elements of the earlier text presented in May 2022, but overall, we are disappointed that a true intellectual property waiver, proposed in October 2020 covering all COVID-19 medical tools and including all countries, could not be agreed, even during a pandemic that has claimed more than 15 million people’s lives.    This agreement fails overall to offer an effective and meaningful solution to help increase people’s access to needed medical tools during the pandemic, as it does not adequately waive intellectual property on all essential COVID-19 medical tools, and it does not apply to all countries. The measures outlined in the decision will not address pharmaceutical monopolies or ensure affordable access to lifesaving medical tools and will set a negative precedent for future global health crises and pandemics.    Throughout the pandemic, MSF has repeatedly pointed out the challenges and struggles faced by frontline healthcare workers in providing care for people facing COVID-19. Despite lofty political commitments and words of solidarity, it has been discouraging for us to see that wealthy countries failed to resolve the glaring inequities in access to lifesaving COVID-19 medical tools for people in low- and middle-income countries.    Without agreement on a true global solution to ongoing access challenges, MSF now urges governments to take immediate steps at the national level to make sure people have access to needed COVID-19 medical tools. Governments should consider using all available legal and policy options, including suspending intellectual property on COVID-19 medical tools, issuing compulsory licenses on key medical technologies to overcome patent barriers, and adopting new laws and policies to ensure the disclosure of essential technical information needed to support generic production and supply.    MSF also calls on governments to take concrete steps to rethink and reform the biomedical innovation system to ensure that lifesaving medical tools are developed, produced and supplied equitably where monopoly-based and market-driven principles are not a barrier to access. It is time to prioritize saving lives instead of protecting corporate and political interests.”","68,030 followers"
"On 19 July 2022, CITRIS Workforce Innovation Program interns, Azarely, Manjari, and I had an illuminating interview with Paula Padrino Vilela, an expert in the field of disaster management who worked for international organizations including the International Committee of the Red Cross (ICRC), NATO, and the UN Environment Program (UNEP) to help prevent and mitigate the effects of disasters on human life. She is currently the project coordinator of UNEP and is working to bring emerging technologies including fields like artificial intelligence, robotics, drones, and the Internet of Things (IOT) to the forefront of disaster response to more effectively prevent damage and save lives.     Paula related her insight into the rapidly changing world we live in. The effects of climate change only serve to accelerate the damage and death tolls incurred by disasters worldwide, but technology is also developing at an ever-quickening pace, allowing for new avenues to fight disasters every day. She sees artificial intelligence as the main technology that will allow for effective disaster prevention, while innovations in the fields of robotics, autonomous vehicles and IOT support the revolutionary power of AI. For example, robots and drones use AI for navigation and making autonomous decisions in the field, while the advent of the IoT lets widely distributed sensor suites feed data into a large data set to further improve upon and gain results from AI.      She also shared some of the challenges that least developed and developing countries face while working on disaster prevention and mitigation. These countries are often the most harshly impacted by climate change and its associated environmental effects, but have the least funds available for which to deal with them. Instead of pursuing the most cutting-edge technologies that first-world countries often do, they invest in simpler, proven, and durable means by which to detect and prevent disasters, which is something that must be kept in mind in order to make these lifesaving products accessible to all who require it.     Our interview with Paula helped us glean much insight into the field of disaster management worldwide, not just in the United States where we live. We hope to apply this knowledge in our work and beyond as the world grapples with a warming environment and an increasing frequency of disasters.",Systems Lead at Space Technologies and Rocketry
Gene Bio Medical is making waves in the health industry. Read the full article here.  #covid hashtag  hashtag  hashtag  hashtag  hashtag  hashtag   hashtag  hashtag    hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag   hashtag  hashtag  hashtag   hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag  hashtag,387 followers
"This week, it was my pleasure  to welcome vaccine industry representatives and global immunization partners to UNICEF Supply Division’s Vaccine Industry Consultation.    Over 200 delegates participated in our largest consultation to date, from 27-29 September 2022. Together, we discussed challenges and solutions towards reaching immunization targets from a diverse range of industry representatives and partners.    More on my article below 📝:","Director at UNICEF Supply Division, Copenhagen"
"Wondering what the hype is coming out of #dreamforce2022 - grab a coffee and read my 5mins re-cap for Salesforce Marketing Cloud customers.    Team:  , , , , , , , , , , ,","☁️ Strategic Sales, Salesforce, Financial Services"
"Dr. Tech is your weekly digital health newsletter that covers digital health stories across the globe.    Find the latest information, news and insights on digital health in our newsletter series.    Follow Dr. Tech - Best Digital Health Newsletters                      ","Digital Health Specialist | Surgical Technologist | Research Developer | Lazord Fellowship Alumnus | Medical Innovator || Helping doctors, nurses & medical startups THRIVE"
"In my recent Forbes Business Council article, I discuss how to avoid the pitfalls of multitasking and a few actionable steps you can take to begin monotasking for better mental clarity and boosted productivity.",President at Marymount University
"Yesterday I gave a speech at The Australian Financial Review Government Services Summit.      If you are interested here are some extracts and the full copy is below in link 🙏     🔹Globalisation was not just about trading commodities on large ships. In the digital age, it's about sharing something far more powerful - ideas - on the internet. Whilst commodities are physical, ideas are intangible. So Trust has an even bigger role to play.     🔹When you place a digital lens over history, an unfortunate dovetail emerges. When the Cold War officially ended in the early 1990s, it was replaced with the beginning of the cyber war. Back then cyber was just starting to warm up - now it is dangerously simmering.      🔹Many people are uncomfortable that a Government would refer to people as ‘Customers’ as opposed to ‘Citizens’. The rationale is simple. Govt provide services to refugees, visa holders and tourists - who are not citizens.      Customer is an inclusive term, which means everybody is entitled to quality service delivery - citizens and refugees alike.      🔹We can use digital to empower the individual, build more Trust and therefore strengthen our precious democracy.     There is no other way forward. A trustless world, is a world of ever diminishing tribes.","Minister for Customer Service and Digital Government, Minister for Small Business, Minister for Fair Trading at NSW Government & Member for Ryde"
The 2022 International AIDS Conference is a prime opportunity for leaders and innovators to re-engage and follow the science in order to make the groundbreaking and necessary strides to achieve an AIDS-free generation. ,"President & CEO, Elizabeth Glaser Pediatric AIDS Foundation"
"There are writing campaigns to congress currently underway from #ClinicalGenetic and #Genomic society members trying to block the passage of the #VALIDact that would give the #FDA oversight of clinical genetic and genomic tests, as well as other Laboratory Developed Tests (LDTs). However, we at the support the VALID Act. To find out why we support it, please read our letter to congress, copied in the article linked below.","2,368 followers"
"Is the advent of UPI going to eventually make cash and card transactions a thing of the past?     In recent years, a large portion of the Indian public has switched to transacting through UPI, and this is because:    1. It’s fast, hassle-free and a cost-effective way to transfer your money.    2. It requires nothing more that a two-factor authentication process.    3. UPI apps have made it extremely convenient for users to link their bank accounts to the app online; and    4. It allows for the settlement of funds in real-time.    To know all about what this means for businesses and the economy in India, read the Newsletter!    Follow 🔥🔥🔥","11,488 followers"
#IVDR #EU #India #clinicaltrials    Will the IVDR delay patient access to innovative life-saving diagnostic therapies?    What impact will this have on clinical trials?,Chief Commercial Officer - MedTech/Digital Health/Diagnostics
