,Hackathon Name,Description,Hackathon_type,year,description_filtered
63,The Ground Zero 22,"NES The Ground Zero 22 is a flagship annual Startathon organized by NUS Entrepreneurship Society Startup Development Division. NES aims to promote entrepreneurship at the National University of Singapore and empower the next generation of entrepreneurs. The society is a hub for entrepreneurship with an abundance of learning and networking opportunities. We organize large conferences, startathons to bring our members closer to the business and startup community. We aim to foster the spirit of entrepreneurship with our growing network of alumni through the sharing of expertise and knowledge. NES has produced an illustrious list of alumni entrepreneurs and changemakers in various industries.",Type: Entrepreneurship,2022,NES Ground Zero flagship annual Startathon organized NUS Entrepreneurship Society Startup Development Division NES aim promote entrepreneurship National University Singapore empower next generation entrepreneur society hub entrepreneurship abundance learning networking opportunity organize large conference startathons bring member closer business startup community aim foster spirit entrepreneurship growing network alumnus sharing expertise knowledge NES ha produced illustrious list alumnus entrepreneur changemakers various industry
64,Climate Hack 2022,"Climate Hack is an inclusive hackathon to equip yourself with digital skills that you can apply and contribute to build a better world. Open to all above 18 years old in ASEAN, China & India and keen interest in using digital skills to innovate for climate action, Climate Hack connects you to a global network of like-minded individuals to collaborate and develop solutions to address climate change, and in turn, contribute to positive and sustainable development in Asia.",Type: Innovation,2022,Climate Hack inclusive hackathon equip digital skill apply contribute build better world Open year old ASEAN China India keen interest using digital skill innovate climate action Climate Hack connects global network like minded individual collaborate develop solution address climate change turn contribute positive sustainable development Asia
65,Google for Startups Cloud Hackathon Singapore 2022,"Join us at the Google Cloud for Startups Cloud Hackathon Singapore 2022. Over a period of 8 weeks, we will host teams as they develop solutions across Machine Learning to Sustainability on Google Cloud. At the hackathon, teams will have an ability to design and build innovative solutions, partner with Google Cloud certified engineers and create innovative solutions while harnessing the power of Google Cloud. We look forward to seeing you at the hackathon! Register today!",Type: Cloud Technologies,2022,Join u Google Cloud Startups Cloud Hackathon Singapore period week host team develop solution across Machine Learning Sustainability Google Cloud hackathon team ability design build innovative solution partner Google Cloud certified engineer create innovative solution harnessing power Google Cloud look forward seeing hackathon Register today
66,2022 UAiTED Innovation Competition,"UAiTED Innovation Competition is an annual competition and is conducted as an alliance among 16 member universities in Asia with the support of industry. This competition is intended to provide an opportunity and a learning experience that will encourage a professional, innovative, and resource sharing interaction among all the participating students within member universities.",Type: Innovation,2022,UAiTED Innovation Competition annual competition conducted alliance among member university Asia support industry competition intended provide opportunity learning experience encourage professional innovative resource sharing interaction among participating student within member university
67,2022 APAC HPC-AI Competition,"High-performance computing and artificial intelligence are the most essential tools fueling the advancement of science. In order to handle the ever-growing demands for higher computation performance and the increase in the complexity of research problems, the world of scientific computing continues to re-innovate itself in a fast pace",Type: High-Performance Computing,2022,High performance computing artificial intelligence essential tool fueling advancement science order handle ever growing demand higher computation performance increase complexity research problem world scientific computing continues innovate fast pace
68,BrainHack 2022,"BrainHack is a unique, hands-on experience into the swiftly evolving world of digital tech. Dive deep into the exciting realms of cybersecurity, artificial intelligence (AI), space technologies, app development, fake news detection, extended reality and more. Close to 4,000 students from 75 schools joined at BrainHack 2021.",Type: Software Development,2022,BrainHack unique hand experience swiftly evolving world digital tech Dive deep exciting realm cybersecurity artificial intelligence AI space technology app development fake news detection extended reality Close student school joined BrainHack
69,15k Competition 2022,"Junior Achievement Singapore and the MIT Club of Singapore are pleased to invite you to participate in 2nd 15K Competition. The 15K Competition is an entrepreneurship competition modelled on MIT’s $100K Entrepreneurship Competition. MIT’s $100K competition started in 1989 as the $10K competition. Then became $50K in 1996. And now, $100K. Today, the $100K is a huge annual event at MIT, with the Launch finals watched by thousands, and sponsored by a hosts of top class companies and foundations.",Type: Entrepreneurship,2022,Junior Achievement Singapore MIT Club Singapore pleased invite participate nd K Competition K Competition entrepreneurship competition modelled MIT K Entrepreneurship Competition MIT K competition started K competition became K K Today K huge annual event MIT Launch final watched thousand sponsored host top class company foundation
70,Standcon 2022,"STANDCON is an annual flagship Cybersecurity Conference and Capture the Flag Competition organised by N0H4TS, Division Zero. This year, STANDCON will be held from 17 - 19 June 2022 virtually in Singapore, via Gather Town and Discord.",Type: Capture-The-Flag (CTF),2022,STANDCON annual flagship Cybersecurity Conference Capture Flag Competition organised N H TS Division Zero year STANDCON held June virtually Singapore via Gather Town Discord
71,HackForGood: Grab Hackathon 2022,"Help Grab honor its mission to drive Southeast Asia forward by creating economic empowerment for everyone. Grab seeks to enable great talents in the region like yourself, to pick up challenges and design solutions that will create social impact, empower communities, and help South East Asia to emerge stronger from the pandemic.",Type: Innovation,2022,Help Grab honor mission drive Southeast Asia forward creating economic empowerment everyone Grab seek enable great talent region like pick challenge design solution create social impact empower community help South East Asia emerge stronger pandemic
72,NSCC HPC Innovation Challenge for the Environment 2022,"The High-Performance Computing Innovation Challenge for the Environment by NSCC provides innovators an opportunity to access their resources and build transformational solutions, to address one or more of the following statements for our environment",Type: High-Performance Computing,2022,High Performance Computing Innovation Challenge Environment NSCC provides innovator opportunity access resource build transformational solution address one following statement environment
73,SMU LIT Hackathon 2022,"Don’t miss this chance to join the SMU LIT Hackathon taking place from 1-3 July 2022! The Hackathon will be conducted in a hybrid format, with the first 2 days held virtually and the 3rd day held physically at SMU Ngee Ann Kongsi Auditorium. You will get to: - Learn basic legal technology skills from our pre-hackathon workshops - Stand a chance to win over $10,000 worth of cash prizes - Network with leading legal industry experts from Norton Rose Fulbright, Rajah & Tann Technologies, Dentons Rodyk, Clifford Chance and more - Attend insightful talks by legal technology experts during the Hackathon - Post-Hackathon Internship/ Mentorship opportunities",Type: Legal Technology,2022,miss chance join SMU LIT Hackathon taking place July Hackathon conducted hybrid format first day held virtually rd day held physically SMU Ngee Ann Kongsi Auditorium get Learn basic legal technology skill pre hackathon workshop Stand chance win worth cash prize Network leading legal industry expert Norton Rose Fulbright Rajah Tann Technologies Dentons Rodyk Clifford Chance Attend insightful talk legal technology expert Hackathon Post Hackathon Internship Mentorship opportunity
74,LifeHack 2022,"LifeHack 2022 is a hackathon aimed to channel the creativity, drive, and skills of the participants in the software development field. Participants are expected to develop intelligent solutions in response to the problem statements presented during the competition. The event is mostly held online, with the exception of the closing day.",Type: Solution Development,2022,LifeHack hackathon aimed channel creativity drive skill participant software development field Participants expected develop intelligent solution response problem statement presented competition event mostly held online exception closing day
75,Green Bootcamp @ North West,How might your team influence the community to adopt sustainable practices into their daily lives?,Type: Sustainability,2022,might team influence community adopt sustainable practice daily life
76,Singapore Airlines AppChallenge 2022,"Do you have a creative idea that revolutionises the way we fly, travel, work and play? If so, we want to hear from you! Shortlisted teams will receive dedicated mentoring sessions from aviation experts, business coaches and a chance to pitch their ideas to Singapore Airlines Senior Management who will be part of the judging panel.",Type: Innovation,2022,creative idea revolutionises way fly travel work play want hear Shortlisted team receive dedicated mentoring session aviation expert business coach chance pitch idea Singapore Airlines Senior Management part judging panel
77,IDEATE 2022,"Come join us for an exciting 3-day ideathon! With a unique theme of The Human Touch, the sky is the limit when it comes to generating ideas! In addition, this is a fully physical hackathon, so we will be welcoming both hardware and software prototypes! 🧑‍💻👩‍💻",Type: Innovation,2022,Come join u exciting day ideathon unique theme Human Touch sky limit come generating idea addition fully physical hackathon welcoming hardware software prototype
78,BlockChamps 2022,"Ethlas is seeking talented individuals to join us in this exciting journey to bring Web3 to the next billion users through our library of casual games and immersive Metaverse. If you have a passion for game/app development and the Web3 space, wait no more! Form teams of 3-5 and embark on this mission to create an inclusive Metaverse.",Type: Innovation,2022,Ethlas seeking talented individual join u exciting journey bring Web next billion user library casual game immersive Metaverse passion game app development Web space wait Form team embark mission create inclusive Metaverse
79,Seagate Lyve Innovator of the Year 2022,"Calling startups and entrepreneurs, take the stage in Lyve Labs Singapore’s first ever pitch competition! Join to be part of the top 8 startups and receive media exposure, pitch coaching and mentorship, and network with ecosystem players!",Type: Innovation,2022,Calling startup entrepreneur take stage Lyve Labs Singapore first ever pitch competition Join part top startup receive medium exposure pitch coaching mentorship network ecosystem player
80,PSA Code Sprint 2022,"PSA proudly presents PSA Hackathon 2022 ! Come join us in teams of 1-4 members to challenge yourself in solving real world problems! Winners can expect attractive prizes worth total of S$17,000 and potential exciting career or internship opportunties!",Type: Solution Development,2022,PSA proudly present PSA Hackathon Come join u team member challenge solving real world problem Winners expect attractive prize worth total potential exciting career internship opportunties
81,Digital Futurist Challenge 2022,"The Digital Futurist Challenge calls out to all youths who seeks to make a difference to the future of Singapore. Youths will come together to envision a future desired scenario of Singapore in 2060, and design creative, digital-focused solutions which may propel Singapore towards that envisioned state.",Type: Innovation,2022,Digital Futurist Challenge call youth seek make difference future Singapore Youths come together envision future desired scenario Singapore design creative digital focused solution may propel Singapore towards envisioned state
82,NCS Next Hack 2022,"NCS Group is delighted to announce the launch of the latest edition of Next Hack, a 10-week innovation challenge for all NCS & affiliates’ employees, tech enthusiasts and entrepreneurs in the APAC region, aimed at solving business challenges using cutting-edge technology!",Type: Innovation,2022,NCS Group delighted announce launch latest edition Next Hack week innovation challenge NCS affiliate employee tech enthusiast entrepreneur APAC region aimed solving business challenge using cutting edge technology
83,API Appetizer Hackathon,"New Normal in the POST-COVID-19 Era, The Beginning of Innovation using Cloud",Type: Solution Development,2022,New Normal POST COVID Era Beginning Innovation using Cloud
