,User,Tweet,paper_text_processed,paper_text_processed_filtered
10,ComplicatedIsOK,"Less than one month to Morpheus Labs' hackathon in Singapore 

With virtual participation options, as well!

🦚 Strut your stuff. 🦚

@GeeqCommunity 
@Web3_Summit 
@Prepare4VC 
@WomeninWeb3DAO https://t.co/5Vuan6Se4u","less than one month to morpheus labs' hackathon in singapore 

with virtual participation options, as well!

🦚 strut your stuff. 🦚

@geeqcommunity 
@web3_summit 
@prepare4vc 
@womeninweb3dao ","le one month morpheus labs' hackathon singapore 

with virtual participation options, well!

🦚 strut stuff. 🦚

@geeqcommunity 
@web3_summit 
@prepare4vc 
@womeninweb3dao "
11,AsiaTokenFund,"SINGAPORE METAVERSE WEEK!🇸🇬

Web3 Conference, Web 3 Hackathon by Morpheus Labs and Metaverse Nova Idol 2022⭐️

8 days event brought to you by Asia Token Fund, Block Tides, AC Capital, Morpheus Labs, Coin Sessions Entertainment, KX Capital, Reactify &amp; VIA.

Exciting 8-days event👏🏻 https://t.co/rxpbxdNBCT","singapore metaverse week!🇸🇬

web3 conference, web 3 hackathon by morpheus labs and metaverse nova idol 2022⭐️

8 days event brought to you by asia token fund, block tides, ac capital, morpheus labs, coin sessions entertainment, kx capital, reactify &amp; via.

exciting 8-days event👏🏻 ","singapore metaverse week!🇸🇬

web3 conference, web 3 hackathon morpheus lab metaverse nova idol 2022⭐️

8 day event brought asia token fund, block tides, ac capital, morpheus labs, coin session entertainment, kx capital, reactify &amp; via.

exciting 8-days event👏🏻 "
12,S2BConnected,"Let's find ideas that impact our world! Please be invited to join our Hackathon in Singapore as part of the Singaporean Blockchain week. 
Decide by your convenience to join online or offline!
But 1st just register! We looking forward to meeting you!

Regi…https://t.co/K4l4RMXKNr","let's find ideas that impact our world! please be invited to join our hackathon in singapore as part of the singaporean blockchain week. 
decide by your convenience to join online or offline!
but 1st just register! we looking forward to meeting you!

regi…","let's find idea impact world! please invited join hackathon singapore part singaporean blockchain week. 
decide convenience join online offline!
but 1st register! looking forward meeting you!

regi…"
13,morpheuslabs_io,"Happy mid-week to #MorpheusLabs community. We would love to share that we will be organising a #hackathon with Huawei Cloud at the Singapore #Blockchain Week; one of Asia’s #largest blockchain events this coming #July

More updates to come, stay tuned 

https://t.co/IwjZhr6xAx","happy mid-week to #morpheuslabs community. we would love to share that we will be organising a #hackathon with huawei cloud at the singapore #blockchain week; one of asia’s #largest blockchain events this coming #july

more updates to come, stay tuned 

","happy mid-week #morpheuslabs community. would love share organising #hackathon huawei cloud singapore #blockchain week; one asia’s #largest blockchain event coming #july

more update come, stay tuned 

"
14,lowcodegeeks,"Are you a nonprofit organization with a vision for the betterment of the world? This is your chance to build your future with #lowcode at @Mendix's MxHacks 2022 – Low-Code for Good! 

Locations: Boston, London, Rotterdam, and Singapore. 

#lowcode #NoCode #hackathon https://t.co/rIwox0nL3E","are you a nonprofit organization with a vision for the betterment of the world? this is your chance to build your future with #lowcode at @mendix's mxhacks 2022 – low-code for good! 

locations: boston, london, rotterdam, and singapore. 

#lowcode #nocode #hackathon ","nonprofit organization vision betterment world? chance build future #lowcode @mendix's mxhacks 2022 – low-code good! 

locations: boston, london, rotterdam, singapore. 

#lowcode #nocode #hackathon "
15,bigideaventures,We are hosting the world's first foodtech-focused hackathon targeting secondary school girls ages 13-16 years old.  The event is taking place in Singapore on July 1-2 🙌 All secondary school girls are welcome to join the event! Register here https://t.co/di3r4K1K0X,we are hosting the world's first foodtech-focused hackathon targeting secondary school girls ages 13-16 years old.  the event is taking place in singapore on july 1-2 🙌 all secondary school girls are welcome to join the event! register here ,hosting world's first foodtech-focused hackathon targeting secondary school girl age 13-16 year old.  event taking place singapore july 1-2 🙌 secondary school girl welcome join event! register 
16,MicrosoftASIA,"Inclusive innovation from Thailand, Singapore and Philippines took centre stage at our AI for #Accessibility Hackathon. Bridge the disability divide in #APAC: https://t.co/T5MAVb2jBG #inclusvity https://t.co/njpuQhGhaS","inclusive innovation from thailand, singapore and philippines took centre stage at our ai for #accessibility hackathon. bridge the disability divide in #apac:  #inclusvity ","inclusive innovation thailand, singapore philippine took centre stage ai #accessibility hackathon. bridge disability divide #apac:  #inclusvity "
17,vlookup_ai,"A look into the Hackathon Empowering Girls in tech, where our teams are working hard on creative solutions for real life problems.

Stay tuned for more updates!  

@ncsgroupofficial 

Video Credits: Girls in Tech Singapore

#hackathon #womenintech #girlsintech #empoweringwomen https://t.co/2maflkpKfb","a look into the hackathon empowering girls in tech, where our teams are working hard on creative solutions for real life problems.

stay tuned for more updates!  

@ncsgroupofficial 

video credits: girls in tech singapore

#hackathon #womenintech #girlsintech #empoweringwomen ","look hackathon empowering girl tech, team working hard creative solution real life problems.

stay tuned updates!  

@ncsgroupofficial 

video credits: girl tech singapore

#hackathon #womenintech #girlsintech #empoweringwomen "
18,AgeProphecy,"We would like to propose Singapore as a #HackNode during the @NEARProtocol Hackathon starting October 15th!
Want to join us??
#NEARHacks","we would like to propose singapore as a #hacknode during the @nearprotocol hackathon starting october 15th!
want to join us??
#nearhacks","would like propose singapore #hacknode @nearprotocol hackathon starting october 15th!
want join us??
#nearhacks"
19,Infinideas,"Going to #CannesLions - winning prize of a global hackathon three years ago!!! So why not make it a tour to meet clients, my #IBMGarage project teams, &amp; designers around the world? 

#Singapore 15-18 Jun
#Cannes 19-26 Jun
#London 26 Jun - 5 July

Let's meet up! 
#CatchMeIfYouCan https://t.co/IE0u6Mdgw0","going to #canneslions - winning prize of a global hackathon three years ago!!! so why not make it a tour to meet clients, my #ibmgarage project teams, &amp; designers around the world? 

#singapore 15-18 jun
#cannes 19-26 jun
#london 26 jun - 5 july

let's meet up! 
#catchmeifyoucan ","going #canneslions - winning prize global hackathon three year ago!!! make tour meet clients, #ibmgarage project teams, &amp; designer around world? 

#singapore 15-18 jun
#cannes 19-26 jun
#london 26 jun - 5 july

let's meet up! 
#catchmeifyoucan "
20,Dutchitchannel,"Mendix: non-profitorganisaties kunnen use case indienen voor wereldwijde hackathon: Mendix organiseert op 23 en 24 september MxHacks 2022, een hackathon op vier locaties: Boston, Londen, Rotterdam en Singapore. Voor deze hackathon nodigt Mendix… https://t.co/qimTHcieAF https://t.co/x20lrkCPV9","mendix: non-profitorganisaties kunnen use case indienen voor wereldwijde hackathon: mendix organiseert op 23 en 24 september mxhacks 2022, een hackathon op vier locaties: boston, londen, rotterdam en singapore. voor deze hackathon nodigt mendix…  ","mendix: non-profitorganisaties kunnen use case indienen voor wereldwijde hackathon: mendix organiseert op 23 en 24 september mxhacks 2022, een hackathon op vier locaties: boston, londen, rotterdam en singapore. voor deze hackathon nodigt mendix…  "
21,tweetsep,"Mendix: non-profitorganisaties kunnen use case indienen voor wereldwijde hackathon: Mendix organiseert op 23 en 24 september MxHacks 2022, een hackathon op vier locaties: Boston, Londen, Rotterdam en Singapore. Voor deze hackathon nodigt Mendix… https://t.co/zFCAWgTSx7 https://t.co/86FqGaTRZ7","mendix: non-profitorganisaties kunnen use case indienen voor wereldwijde hackathon: mendix organiseert op 23 en 24 september mxhacks 2022, een hackathon op vier locaties: boston, londen, rotterdam en singapore. voor deze hackathon nodigt mendix…  ","mendix: non-profitorganisaties kunnen use case indienen voor wereldwijde hackathon: mendix organiseert op 23 en 24 september mxhacks 2022, een hackathon op vier locaties: boston, londen, rotterdam en singapore. voor deze hackathon nodigt mendix…  "
22,MicrosoftASIA,"A huge congratulations to our AI for #Accessibility Hackathon APAC Winners from Thailand, Singapore and Philippines: https://t.co/T5MAVb2jBG #diversity https://t.co/9UFbB1h6FK","a huge congratulations to our ai for #accessibility hackathon apac winners from thailand, singapore and philippines:  #diversity ","huge congratulation ai #accessibility hackathon apac winner thailand, singapore philippines:  #diversity "
23,DouglasGan,"Is #Singapore being mocked while @binance continue to obtain licenses left right and centre?

Did a https://t.co/I1ugKOt5qB sometime back, suggesting to the #MAS a few key ideas, happy to see them implementing it at their new hackathon.","is #singapore being mocked while @binance continue to obtain licenses left right and centre?

did a  sometime back, suggesting to the #mas a few key ideas, happy to see them implementing it at their new hackathon.","#singapore mocked @binance continue obtain license left right centre?

did  sometime back, suggesting #mas key ideas, happy see implementing new hackathon."
24,seeinplays,"Guys, a green hackathon called GreenHouse Hacks by @AlgoFoundation and it’s happening in Singapore 👀 #AVMAustin https://t.co/jI4cLek5Jg","guys, a green hackathon called greenhouse hacks by @algofoundation and it’s happening in singapore 👀 #avmaustin ","guys, green hackathon called greenhouse hack @algofoundation it’s happening singapore 👀 #avmaustin "
25,MicrosoftASIA,"A huge congratulations to our AI for #Accessibility Hackathon APAC Winners from Thailand, Singapore and Philippines: https://t.co/T5MAVb2jBG #diversity https://t.co/nXlQO8LmGu","a huge congratulations to our ai for #accessibility hackathon apac winners from thailand, singapore and philippines:  #diversity ","huge congratulation ai #accessibility hackathon apac winner thailand, singapore philippines:  #diversity "
26,athi_ngubs,"Winners of Huawei Cloud Spark Hackathon Singapore 2022 Announced
https://t.co/juNrY8rwpp","winners of huawei cloud spark hackathon singapore 2022 announced
","winner huawei cloud spark hackathon singapore 2022 announced
"
27,MicrosoftASIA,"Inclusive innovation from Thailand, Singapore and Philippines took centre stage at our AI for #Accessibility Hackathon. Bridge the disability divide in #APAC: https://t.co/T5MAVb2jBG #inclusvity https://t.co/5NamLuyR0B","inclusive innovation from thailand, singapore and philippines took centre stage at our ai for #accessibility hackathon. bridge the disability divide in #apac:  #inclusvity ","inclusive innovation thailand, singapore philippine took centre stage ai #accessibility hackathon. bridge disability divide #apac:  #inclusvity "
28,MicrosoftASIA,"A huge congratulations to our AI for #Accessibility Hackathon APAC Winners from Thailand, Singapore and Philippines: https://t.co/T5MAVb2jBG #diversity https://t.co/6wvbfrTD9H","a huge congratulations to our ai for #accessibility hackathon apac winners from thailand, singapore and philippines:  #diversity ","huge congratulation ai #accessibility hackathon apac winner thailand, singapore philippines:  #diversity "
29,AvePoint,Time’s up on May 31! ⏰ Don’t wait - register for the Microsoft Education Singapore Power Apps Hackathon Competition 2022. Click the link to register now: https://t.co/QTzZJ8DlTH. https://t.co/IEFBzPky9v,time’s up on may 31! ⏰ don’t wait - register for the microsoft education singapore power apps hackathon competition 2022. click the link to register now:  ,time’s may 31! ⏰ don’t wait - register microsoft education singapore power apps hackathon competition 2022. click link register now:  
30,4AfricaCloud,"Dare to drive innovation &amp; create a brighter future with the tools on #HuaweiCloud. Watch how tech enthusiasts, developers and aspiring entrepreneurs tackled the #HUAWEICLOUDSPARK Hackathon Singapore 2022: https://t.co/QOmwQYr2Hh #SPARKhackathon
 
#Cloud #Technology","dare to drive innovation &amp; create a brighter future with the tools on #huaweicloud. watch how tech enthusiasts, developers and aspiring entrepreneurs tackled the #huaweicloudspark hackathon singapore 2022:  #sparkhackathon
 
#cloud #technology","dare drive innovation &amp; create brighter future tool #huaweicloud. watch tech enthusiasts, developer aspiring entrepreneur tackled #huaweicloudspark hackathon singapore 2022:  #sparkhackathon
 
#cloud #technology"
31,OrangeMagTV,"Teams from Thailand, Singapore and Philippines are winners of the Microsoft AI4A Hackathon in APAC. In its third year, the AI4A Hackathon features teams who are deeply committed to solving real-world challenges faced by people with disabilities (PwD). 

https://t.co/nrDQ7mu0Ix","teams from thailand, singapore and philippines are winners of the microsoft ai4a hackathon in apac. in its third year, the ai4a hackathon features teams who are deeply committed to solving real-world challenges faced by people with disabilities (pwd). 

","team thailand, singapore philippine winner the microsoft ai4a hackathon in apac. third year, ai4a hackathon feature team deeply committed solving real-world challenge faced people disability (pwd). 

"
32,AvePoint,Microsoft x AvePoint = Microsoft Education Singapore Power Apps Hackathon Competition 2022⚡. Come together to empower educators with an idea hacking competition through collaborative learning. Registration closes May 31. Click the link to register: https://t.co/QTzZJ8lL29 https://t.co/NFHhG9Vm5N,microsoft x avepoint = microsoft education singapore power apps hackathon competition 2022⚡. come together to empower educators with an idea hacking competition through collaborative learning. registration closes may 31. click the link to register:  ,microsoft x avepoint = microsoft education singapore power apps hackathon competition 2022⚡. come together empower educator idea hacking competition collaborative learning. registration close may 31. click link register:  
33,IHLDAO,"Hey @t_blom we're setting up the world's first international hackathon league with top unis from EU, US &amp; Asia (Oxford, Cambridge, Princeton, Yale, Singapore etc.)

Would be great to show your support for #teamoxford with a retweet on the pinned tweet at the top?","hey @t_blom we're setting up the world's first international hackathon league with top unis from eu, us &amp; asia (oxford, cambridge, princeton, yale, singapore etc.)

would be great to show your support for #teamoxford with a retweet on the pinned tweet at the top?","hey @t_blom we're setting world's first international hackathon league top unis eu, u &amp; asia (oxford, cambridge, princeton, yale, singapore etc.)

would great show support #teamoxford retweet pinned tweet top?"
34,leongilbert,"Announcing Microsoft AI for Accessibility Hackathon APAC winners: Thailand, Singapore, and Philippines accelerate inclusive innovation | Media OutReach https://t.co/F0cCppPinj","announcing microsoft ai for accessibility hackathon apac winners: thailand, singapore, and philippines accelerate inclusive innovation | media outreach ","announcing microsoft ai accessibility hackathon apac winners: thailand, singapore, philippine accelerate inclusive innovation | medium outreach "
35,appsgadget,"https://t.co/BTWNW73jAQ from Thailand, Singapore and Philippines are winners of the Microsoft AI for Accessibility (AI4A) Hackathon in APAC. In its third year, the AI4A Hackathon features teams who are deeply committed to solving real-world challenges faced by people with disab… https://t.co/tE8qGfuAoF"," from thailand, singapore and philippines are winners of the microsoft ai for accessibility (ai4a) hackathon in apac. in its third year, the ai4a hackathon features teams who are deeply committed to solving real-world challenges faced by people with disab… "," thailand, singapore philippine winner microsoft ai accessibility (ai4a) hackathon apac. third year, ai4a hackathon feature team deeply committed solving real-world challenge faced people disab… "
36,iorbitnews,"PH among APAC winners of Microsoft's AI for Accessibility Hackathon - https://t.co/RNbQZ46wVK

Teams from Thailand, Singapore and Philippines are winners of the Microsoft AI for Accessibility (AI4A) Hackathon in APAC. In its third year, the AI4A Hackathon features teams who a... https://t.co/yNtSS7Y2hO","ph among apac winners of microsoft's ai for accessibility hackathon - 

teams from thailand, singapore and philippines are winners of the microsoft ai for accessibility (ai4a) hackathon in apac. in its third year, the ai4a hackathon features teams who a... ","ph among apac winner microsoft's ai accessibility hackathon - 

teams thailand, singapore philippine winner microsoft ai accessibility (ai4a) hackathon apac. third year, ai4a hackathon feature team a... "
37,AAAEducators,"The presentation will reflect on @Grincheva's experience participating in the Hackathon ‘Dancing in the Metaverse’ organized by the major performing arts venue in Singapore, Esplanade, in January 2022.","the presentation will reflect on @grincheva's experience participating in the hackathon ‘dancing in the metaverse’ organized by the major performing arts venue in singapore, esplanade, in january 2022.","presentation reflect @grincheva's experience participating hackathon ‘dancing metaverse’ organized major performing art venue singapore, esplanade, january 2022."
38,diinsider,"Climate Hack is an award-winning hackathon proudly brought to you by Singapore International Foundation and Code for Asia, made possible by SAP4Good and National Youth Council Singapore. 

For more information, please visit https://t.co/ZWBD5XRTio

#diinsider #climatehack https://t.co/Lm38XlCbl4","climate hack is an award-winning hackathon proudly brought to you by singapore international foundation and code for asia, made possible by sap4good and national youth council singapore. 

for more information, please visit 

#diinsider #climatehack ","climate hack award-winning hackathon proudly brought singapore international foundation code asia, made possible sap4good national youth council singapore. 

for information, please visit 

#diinsider #climatehack "
39,mor_asia,"Announcing Microsoft AI for Accessibility Hackathon APAC winners: Thailand, Singapore, and Philippines accelerate inclusive innovation. Learn more about this on: https://t.co/iZqpWANkmz

@microsoft #technology #innovation #AI #hackathon #APAC","announcing microsoft ai for accessibility hackathon apac winners: thailand, singapore, and philippines accelerate inclusive innovation. learn more about this on: 

@microsoft #technology #innovation #ai #hackathon #apac","announcing microsoft ai accessibility hackathon apac winners: thailand, singapore, philippine accelerate inclusive innovation. learn on: 

@microsoft #technology #innovation #ai #hackathon #apac"
40,vlookup_ai,We are excited to be the Mentoring Partner for the first ‘Cross-Polytechnic Girls in Tech’ society in Singapore to support their inaugural Hackathon.,we are excited to be the mentoring partner for the first ‘cross-polytechnic girls in tech’ society in singapore to support their inaugural hackathon.,excited mentoring partner first ‘cross-polytechnic girl tech’ society singapore support inaugural hackathon.
41,GlobalNewsClubs,"Announcing Microsoft AI for Accessibility Hackathon APAC winners: Thailand, Singapore, and Philippines accelerate inclusive innovation https://t.co/Gi76RAerTm","announcing microsoft ai for accessibility hackathon apac winners: thailand, singapore, and philippines accelerate inclusive innovation ","announcing microsoft ai accessibility hackathon apac winners: thailand, singapore, philippine accelerate inclusive innovation "
42,lhrtimes,"Announcing Microsoft AI for Accessibility Hackathon APAC winners: Thailand, Singapore, and Philippines accelerate inclusive innovation https://t.co/6gZDTZqSPy","announcing microsoft ai for accessibility hackathon apac winners: thailand, singapore, and philippines accelerate inclusive innovation ","announcing microsoft ai accessibility hackathon apac winners: thailand, singapore, philippine accelerate inclusive innovation "
43,AsiaInsiders,"Announcing Microsoft AI for Accessibility Hackathon APAC winners: Thailand, Singapore, and Philippines accelerate inclusive innovation https://t.co/444z0KT3qB","announcing microsoft ai for accessibility hackathon apac winners: thailand, singapore, and philippines accelerate inclusive innovation ","announcing microsoft ai accessibility hackathon apac winners: thailand, singapore, philippine accelerate inclusive innovation "
44,Malik31Mahmoudi,"Announcing Microsoft AI for Accessibility Hackathon APAC winners: Thailand, Singapore, and Philippines accelerate inclusive innovation | Taiwan News https://t.co/hUvwwLcgvM","announcing microsoft ai for accessibility hackathon apac winners: thailand, singapore, and philippines accelerate inclusive innovation | taiwan news ","announcing microsoft ai accessibility hackathon apac winners: thailand, singapore, philippine accelerate inclusive innovation | taiwan news "
45,siamnewsnetwork,"Announcing Microsoft AI for Accessibility Hackathon APAC winners: Thailand, Singapore, and Philippines accelerate inclusive innovation https://t.co/B80lyAiTTZ","announcing microsoft ai for accessibility hackathon apac winners: thailand, singapore, and philippines accelerate inclusive innovation ","announcing microsoft ai accessibility hackathon apac winners: thailand, singapore, philippine accelerate inclusive innovation "
46,CrweWorld,"Announcing Microsoft AI for Accessibility Hackathon APAC winners: Thailand, Singapore, and Philippines accelerate in https://t.co/rkEDiv5sEu","announcing microsoft ai for accessibility hackathon apac winners: thailand, singapore, and philippines accelerate in ","announcing microsoft ai accessibility hackathon apac winners: thailand, singapore, philippine accelerate "
47,CryptoBabyFil,"💫The Asia #Filecoin community is hosting a collaborative 4-day event on August 16th-19th called the #FIL-Singapore #Summit.

There will be: 
🌟Speakers &amp; builders from across the #Web3 ecosystem
🌟In-depth expert-led sessions 
🌟#Hackathon with prizes up to $100K &amp; more! 💰 https://t.co/USXPH0csYd","💫the asia #filecoin community is hosting a collaborative 4-day event on august 16th-19th called the #fil-singapore #summit.

there will be: 
🌟speakers &amp; builders from across the #web3 ecosystem
🌟in-depth expert-led sessions 
🌟#hackathon with prizes up to $100k &amp; more! 💰 ","💫the asia #filecoin community hosting collaborative 4-day event august 16th-19th called #fil-singapore #summit.

there be: 
🌟speakers &amp; builder across #web3 ecosystem
🌟in-depth expert-led session 
🌟#hackathon prize $100k &amp; more! 💰 "
48,Forum4theFuture,What can Singaporeans do to help fuel the #greeneconomy? The @ChannelNewsAsia Green Plan Challenge sees residents in 15 Singapore towns giving businesses a green makeover. Watch Forum’s Managing Director @_eam participate as panellist in the hackathon👇https://t.co/MQfW5jgWxN,what can singaporeans do to help fuel the #greeneconomy? the @channelnewsasia green plan challenge sees residents in 15 singapore towns giving businesses a green makeover. watch forum’s managing director @_eam participate as panellist in the hackathon👇,singaporean help fuel #greeneconomy? @channelnewsasia green plan challenge see resident 15 singapore town giving business green makeover. watch forum’s managing director @_eam participate panellist hackathon👇
49,Emersonnuqui02,"aside sa stress na dulot sa akin ng hackathon na yan. this week din yung monthly data quality check namin sa singapore na tumatagal ng 3-5 days bago matapos, weekly data crawling for 2-3 days, kh monthly data check for 1 day and weekly data quality check for 2-3 days din.","aside sa stress na dulot sa akin ng hackathon na yan. this week din yung monthly data quality check namin sa singapore na tumatagal ng 3-5 days bago matapos, weekly data crawling for 2-3 days, kh monthly data check for 1 day and weekly data quality check for 2-3 days din.","aside sa stress na dulot sa akin ng hackathon na yan. week din yung monthly data quality check namin sa singapore na tumatagal ng 3-5 day bago matapos, weekly data crawling 2-3 days, kh monthly data check 1 day weekly data quality check 2-3 day din."
50,GoogleCloud_SG,Just 2 days left to submit your ideas for the Google for Startups Cloud Hackathon Singapore! Register now to get direct mentorship with seasoned engineers and win some swag ➡️https://t.co/vluZpBhz6y https://t.co/hRCSzevB3I,just 2 days left to submit your ideas for the google for startups cloud hackathon singapore! register now to get direct mentorship with seasoned engineers and win some swag ➡️ ,2 day left submit idea google startup cloud hackathon singapore! register get direct mentorship seasoned engineer win swag ➡️ 
51,athi_ngubs,"Winners of Huawei Cloud Spark Hackathon Singapore 2022 Announced
https://t.co/u1O0GJXKg8","winners of huawei cloud spark hackathon singapore 2022 announced
","winner huawei cloud spark hackathon singapore 2022 announced
"
52,dexsychain,"More Than 400 Developers Joined Neo’s Polaris Launchpad Hackathon: [Singapore, April 26, 2022] – Following the judge panel awarding multiplier rewards to early bird teams competing in Neo’s Polaris Launchpad Hackathon phase, interest in the… https://t.co/B4tlAryy7G DEXSY NFT","more than 400 developers joined neo’s polaris launchpad hackathon: [singapore, april 26, 2022] – following the judge panel awarding multiplier rewards to early bird teams competing in neo’s polaris launchpad hackathon phase, interest in the…  dexsy nft","400 developer joined neo’s polaris launchpad hackathon: [singapore, april 26, 2022] – following judge panel awarding multiplier reward early bird team competing neo’s polaris launchpad hackathon phase, interest the…  dexsy nft"
53,NTUsg,Kudos to two #NTUsg student teams who came in third at @Huawei Spark Hackathon Singapore 2022 for their #cloudbased #sustainability ideas. @HuaweiCloudAPAC  https://t.co/sPbKWeHNy6 https://t.co/O0dg7ZtpFK,kudos to two #ntusg student teams who came in third at @huawei spark hackathon singapore 2022 for their #cloudbased #sustainability ideas. @huaweicloudapac   ,kudos two #ntusg student team came third @huawei spark hackathon singapore 2022 #cloudbased #sustainability ideas. @huaweicloudapac   
54,rehownet2,Huawei Japan (Corporate) Announcement of Huawei Cloud Spark Hackathon Singapore 2022 Winners https://t.co/J4fm5gHtZj,huawei japan (corporate) announcement of huawei cloud spark hackathon singapore 2022 winners ,huawei japan (corporate) announcement huawei cloud spark hackathon singapore 2022 winners 
55,athi_ngubs,"Winners of Huawei Cloud Spark Hackathon Singapore 2022 Announced
https://t.co/rqumvme39m","winners of huawei cloud spark hackathon singapore 2022 announced
","winner huawei cloud spark hackathon singapore 2022 announced
"
